# MIST version number  = 1.0     
# MESA revision number =     7503
# photometric system   = UBV(RI)c, 2MASS, Kepler, Hipparcos, Gaia (Vega)                 
# --------------------------------------------------------------------------------------
#  Yinit        Zinit   [Fe/H]   [a/Fe]  v/vcrit                                        
# 0.2491  9.40119E-05    -2.20     0.00     0.40
# --------------------------------------------------------------------------------------
# number of isochrones =     8
# CCM89 extinction: Av =  0.061
# --------------------------------------------------------------------------------------
# number of EEPs, cols =   464   22
#   1                               2                               3                               4                               5                               6                   7                   8                   9                  10                  11                  12                  13                  14                  15                  16                  17                  18                  19                  20                  21                  22
# EEP          log10_isochrone_age_yr                    initial_mass                        log_Teff                           log_g                           log_L              Z_surf           Bessell_U           Bessell_B           Bessell_V           Bessell_R           Bessell_I             2MASS_J             2MASS_H            2MASS_Ks           Kepler_Kp          Kepler_D51        Hipparcos_Hp             Tycho_B             Tycho_V              Gaia_G               phase
  244         9.9000000000000004E+000         1.0000000000000016E-001         3.5519336419707077E+000         5.3624433760120507E+000        -2.7619202499066930E+000            0.000104           15.993467           14.443807           12.815575           11.846479           11.006208            9.913847            9.204736            8.983562           12.063912           13.663531           12.870227           14.934498           13.016483           12.106102            0.000000
  245         9.9000000000000004E+000         1.0831280153086385E-001         3.5592291273605987E+000         5.3369855655520091E+000        -2.6780045863408182E+000            0.000104           15.585327           14.150641           12.566467           11.620734           10.806132            9.735416            9.038578            8.821764           11.842420           13.378584           12.628500           14.615330           12.763957           11.886618            0.000000
  246         9.9000000000000004E+000         1.0839002449447802E-001         3.5592939915477100E+000         5.3367430962323290E+000        -2.6772306976964808E+000            0.000104           15.581707           14.147999           12.564183           11.618652           10.804291            9.733755            9.037023            8.820247           11.840372           13.376049           12.626268           14.612452           12.761640           11.884588            0.000000
  247         9.9000000000000004E+000         1.0904195189925840E-001         3.5597617146552945E+000         5.3345431701347463E+000        -2.6708639318231584E+000            0.000104           15.552773           14.126627           12.545639           11.601665           10.789048            9.719837            9.023893            8.807378           11.823601           13.355132           12.608150           14.589195           12.742828           11.867951            0.000000
  248         9.9000000000000004E+000         1.1102461742664464E-001         3.5615940885226665E+000         5.3286365886164893E+000        -2.6506453399803220E+000            0.000104           15.454391           14.054179           12.483843           11.546124           10.740044            9.676400            8.983465            8.768097           11.768918           13.285767           12.547882           14.510261           12.679926           11.813865            0.000000
  249         9.9000000000000004E+000         1.1988443334918493E-001         3.5689498051594208E+000         5.3005863119843086E+000        -2.5619698793105901E+000            0.000104           15.035883           13.738618           12.217194           11.304090           10.522615            9.482559            8.802323            8.591517           11.528737           12.980481           12.287008           14.166928           12.407822           11.575820            0.000000
  250         9.9000000000000004E+000         1.2187446854540256E-001         3.5703571942960401E+000         5.2937844105142098E+000        -2.5425299645600106E+000            0.000104           14.947536           13.671000           12.159737           11.251724           10.474639            9.439346            8.761776            8.551788           11.476541           12.913860           12.230794           14.093689           12.349340           11.523978            0.000000
  251         9.9000000000000004E+000         1.2196049709037647E-001         3.5704282390145821E+000         5.2935102677506718E+000        -2.5416686697819113E+000            0.000104           14.943432           13.667879           12.157119           11.249361           10.472494            9.437449            8.760018            8.550073           11.474185           12.910810           12.228237           14.090302           12.346670           11.521641            0.000000
  252         9.9000000000000004E+000         1.3141571556743989E-001         3.5786395077074609E+000         5.2641032536380701E+000        -2.4461174663170144E+000            0.000104           14.471937           13.311070           11.861158           10.984635           10.230973            9.226825            8.567927            8.362875           11.209946           12.558400           11.939760           13.702635           12.044413           11.259074            0.000000
  253         9.9000000000000004E+000         1.3149277358117556E-001         3.5787042760093919E+000         5.2638583533255314E+000        -2.4453421124179346E+000            0.000104           14.468102           13.308133           11.858732           10.982469           10.228985            9.225094            8.566362            8.361349           11.207778           12.555480           11.937394           13.699435           12.041932           11.256918            0.000000
  254         9.9000000000000004E+000         1.3484652807015635E-001         3.5810727991498417E+000         5.2522716652521586E+000        -2.4124701972041911E+000            0.000104           14.314455           13.188677           11.758746           10.892097           10.145119            9.150927            8.498095            8.294415           11.117286           12.435884           11.839607           13.569919           11.940462           11.166821            0.000000
  255         9.9000000000000004E+000         1.3493246413564455E-001         3.5811438145858365E+000         5.2519951285557918E+000        -2.4116069522367392E+000            0.000104           14.310213           13.185391           11.756063           10.889668           10.142886            9.148993            8.496342            8.292705           11.114853           12.432617           11.836987           13.566347           11.937719           11.164402            0.000000
  256         9.9000000000000004E+000         1.4305570536260456E-001         3.5884257886399471E+000         5.2269035048595329E+000        -2.3287793204710785E+000            0.000104           13.886430           12.865883           11.493248           10.656636            9.929220            8.964092            8.329607            8.130602           10.880073           12.114512           11.580194           13.217648           11.668550           10.930692            0.000000
  257         9.9000000000000004E+000         1.4313258460857381E-001         3.5884904507733801E+000         5.2266559976044649E+000        -2.3280024147090677E+000            0.000104           13.882512           12.862922           11.490792           10.654530            9.927200            8.962372            8.328013            8.129051           10.877951           12.111553           11.577794           13.214459           11.666035           10.928577            0.000000
  258         9.9000000000000004E+000         1.4812858483407898E-001         3.5917134360218408E+000         5.2105698638337001E+000        -2.2822241885125107E+000            0.000104           13.675062           12.698900           11.351512           10.527978            9.809029            8.857225            8.231150            8.034313           10.753093           11.948317           11.442410           13.039233           11.523849           10.804282            0.000000
  259         9.9000000000000004E+000         1.6003614182470652E-001         3.5966028959621719E+000         5.1867774447399624E+000        -2.2064109457370571E+000            0.000104           13.353052           12.436456           11.128601           10.319515            9.614104            8.680695            8.067248            7.873900           10.543714           11.687593           11.221451           12.761400           11.295190           10.595629            0.000000
  260         9.9000000000000004E+000         1.6019288901554193E-001         3.5966465366842115E+000         5.1865078324493412E+000        -2.2055750990481284E+000            0.000104           13.349795           12.433781           11.126224           10.317264            9.611976            8.678722            8.065384            7.872067           10.541452           11.684875           11.219058           12.758539           11.292774           10.593373            0.000000
  261         9.9000000000000004E+000         1.7548448685916238E-001         3.6009731244860550E+000         5.1594383706035307E+000        -2.1229894843573507E+000            0.000104           13.032069           12.169751           10.887917           10.095398            9.402456            8.484017            7.881079            7.691236           10.318480           11.418242           10.983274           12.480703           11.053263           10.370993            0.000000
  262         9.9000000000000004E+000         1.7569111528466136E-001         3.6010286301383925E+000         5.1590719857490299E+000        -2.1218847651766892E+000            0.000104           13.027966           12.166263           10.884745           10.092438            9.399657            8.481403            7.878605            7.688804           10.315506           11.414770           10.980141           12.477075           11.050045           10.368026            0.000000
  263         9.9000000000000004E+000         1.8636806095945133E-001         3.6039620191967177E+000         5.1399813598999460E+000        -2.0643816358947169E+000            0.000104           12.813539           11.984201           10.719939            9.939216            9.254878            8.345934            7.749809            7.562223           10.161345           11.232542           10.817513           12.287821           10.882671           10.214240            0.000000
  264         9.9000000000000004E+000         1.9808263792961986E-001         3.6062571422399934E+000         5.1209063930354608E+000        -2.0093613707107720E+000            0.000104           12.621977           11.816921           10.566461            9.794909            9.116757            8.215133            7.623476            7.437781           10.016198           11.065192           10.665768           12.115170           10.727159           10.069360            0.000000
  265         9.9000000000000004E+000         2.0337833331280072E-001         3.6072961492232198E+000         5.1128395476917294E+000        -1.9855018609696695E+000            0.000104           12.538733           11.743964           10.499738            9.732285            9.056807            8.158561            7.568899            7.384074            9.953194           10.992384           10.599814           12.039957           10.659518           10.006473            0.000000
  266         9.9000000000000004E+000         2.0952400050701778E-001         3.6086791257894291E+000         5.1025667896563247E+000        -1.9555767349785647E+000            0.000104           12.433184           11.651587           10.415640            9.653605            8.981563            8.087873            7.500846            7.317185            9.874004           10.900312           10.516732           11.944717           10.574202            9.927435            0.000000
  267         9.9000000000000004E+000         2.1958868432061876E-001         3.6097184262831123E+000         5.0896098313791009E+000        -1.9189554193125364E+000            0.000104           12.317447           11.546723           10.317180            9.559422            8.889902            7.999546            7.414443            7.231582            9.779363           10.795238           10.419088           11.837522           10.474798            9.832895            0.000000
  268         9.9000000000000004E+000         2.2949666374020691E-001         3.6107373564691043E+000         5.0770116342167695E+000        -1.8830780354921659E+000            0.000104           12.204404           11.444077           10.220781            9.467197            8.800082            7.913030            7.329803            7.147729            9.686687           10.692437           10.323485           11.732674           10.377478            9.740316            0.000000
  269         9.9000000000000004E+000         2.3550869175221681E-001         3.6113672613419183E+000         5.0692775799931615E+000        -1.8611720010606174E+000            0.000104           12.135347           11.381351           10.161903            9.410893            8.745232            7.860238            7.278165            7.096608            9.630104           10.629622           10.265099           11.668626           10.318031            9.683792            0.000000
  270         9.9000000000000004E+000         2.4239104659591570E-001         3.6120840509330421E+000         5.0605968068641740E+000        -1.8362848343691591E+000            0.000104           12.057081           11.310125           10.095030            9.346920            8.682891            7.800261            7.219509            7.038543            9.565819           10.558367           10.198774           11.595940           10.250514            9.619574            0.000000
  271         9.9000000000000004E+000         2.5445739401112821E-001         3.6132554711431117E+000         5.0479677540751835E+000        -1.7983708425275378E+000            0.000104           11.936771           11.200788            9.992705            9.249239            8.587815            7.709123            7.130553            6.950560            9.467653           10.449176           10.097321           11.484354           10.147152            9.521518            0.000000
  272         9.9000000000000004E+000         2.6164522923305739E-001         3.6139470630411186E+000         5.0403114632503696E+000        -1.7753585362639139E+000            0.000104           11.864258           11.134718            9.930756            9.190025            8.530110            7.653755            7.076471            6.897053            9.408152           10.383194           10.035883           11.416981           10.084591            9.462079            0.000000
  273         9.9000000000000004E+000         2.6616406790343072E-001         3.6143706939184677E+000         5.0362520033247495E+000        -1.7624484571604522E+000            0.000104           11.823053           11.097262            9.895787            9.156693            8.497692            7.622791            7.046336            6.867243            9.374653           10.345885           10.001216           11.378769           10.049254            9.428621            0.000000
  274         9.9000000000000004E+000         2.7444289622745305E-001         3.6151365862145992E+000         5.0287781401368523E+000        -1.7388006393219744E+000            0.000104           11.747720           11.028798            9.831822            9.095705            8.438333            7.566066            6.991197            6.812596            9.313358           10.277603            9.937803           11.308941            9.984621            9.367396            0.000000
  275         9.9000000000000004E+000         2.7946594585679557E-001         3.6155840737176543E+000         5.0243030526162196E+000        -1.7245811084120217E+000            0.000104           11.702736           10.987811            9.793452            9.059068            8.402639            7.531916            6.957975            6.779660            9.276543           10.236735            9.899753           11.267182            9.945862            9.330622            0.000000
  276         9.9000000000000004E+000         2.9089199080419942E-001         3.6166589289232043E+000         5.0142817628024590E+000        -1.6921659784639367E+000            0.000104           11.599360           10.893814            9.705675            8.975400            8.321213            7.454228            6.882542            6.704907            9.192458           10.143127            9.812727           11.171825            9.856853            9.246634            0.000000
  277         9.9000000000000004E+000         2.9778179163783697E-001         3.6172742552192281E+000         5.0084049606977814E+000        -1.6729175053810368E+000            0.000104           11.538422           10.838306            9.653715            8.925799            8.272876            7.408037            6.837643            6.660439            9.142613           10.087796            9.761197           11.115539            9.804075            9.196843            0.000000
  278         9.9000000000000004E+000         2.9869401985875882E-001         3.6173561705680797E+000         5.0076197410587353E+000        -1.6703663487888727E+000            0.000104           11.530348           10.830950            9.646828            8.919225            8.266470            7.401916            6.831693            6.654554            9.136007           10.080467            9.754368           11.108080            9.797081            9.190244            0.000000
  279         9.9000000000000004E+000         3.0479697823805185E-001         3.6179638412484065E+000         5.0031485889940672E+000        -1.6547697151324379E+000            0.000104           11.479046           10.784739            9.604065            8.878731            8.227214            7.364813            6.795891            6.619242            9.095289           10.034549            9.712012           11.061150            9.753494            9.149580            0.000000
  280         9.9000000000000004E+000         3.1022094523359794E-001         3.6184744025521032E+000         4.9991570526234614E+000        -1.6408447426694237E+000            0.000104           11.434057           10.743906            9.566107            8.842653            8.192174            7.331582            6.763707            6.587518            9.059030            9.994039            9.674388           11.019741            9.714835            9.113367            0.000000
  281         9.9000000000000004E+000         3.1048024848456279E-001         3.6185025320310755E+000         4.9989792879428405E+000        -1.6401957760648400E+000            0.000104           11.431862           10.741952            9.564314            8.840967            8.190541            7.330050            6.762232            6.586070            9.057333            9.992084            9.672615           11.017756            9.712998            9.111672            0.000000
  282         9.9000000000000004E+000         3.2009078427261728E-001         3.6195030994568889E+000         4.9925443216205290E+000        -1.6165042159333640E+000            0.000104           11.353470           10.671123            9.498363            8.779276            8.130854            7.273932            6.708067            6.532934            8.995314            9.922048            9.607975           10.945951            9.646250            9.049744            0.000000
  283         9.9000000000000004E+000         3.2016594017582767E-001         3.6195112891380603E+000         4.9924956628351573E+000        -1.6163209097119009E+000            0.000104           11.352852           10.670567            9.497848            8.778796            8.130392            7.273499            6.707651            6.532526            8.994832            9.921499            9.607471           10.945388            9.645728            9.049263            0.000000
  284         9.9000000000000004E+000         3.2561947368440119E-001         3.6201688108412267E+000         4.9890219739869659E+000        -1.6029050160874303E+000            0.000104           11.306686           10.629716            9.459847            8.743615            8.096564            7.241990            6.677439            6.502984            8.959433            9.880857            9.570353           10.903571            9.607259            9.013923            0.000000
  285         9.9000000000000004E+000         3.2585674108715923E-001         3.6201967772990158E+000         4.9888837056085942E+000        -1.6023378040737493E+000            0.000104           11.304764           10.627995            9.458241            8.742121            8.095130            7.240653            6.676156            6.501731            8.957932            9.879164            9.568780           10.901809            9.605634            9.012424            0.000000
  286         9.9000000000000004E+000         3.3685327669117926E-001         3.6214994546949697E+000         4.9825082168573402E+000        -1.5763564467010294E+000            0.000104           11.214778           10.548695            9.384493            8.673873            8.029589            7.179687            6.617751            6.444481            8.889248            9.800226            9.496696           10.820454            9.530993            8.943855            0.000000
  287         9.9000000000000004E+000         3.3688185162309525E-001         3.6215031800520530E+000         4.9824926601783748E+000        -1.5762893664824265E+000            0.000104           11.214512           10.548482            9.384299            8.673699            8.029420            7.179532            6.617607            6.444338            8.889071            9.799996            9.496509           10.820232            9.530797            8.943679            0.000000
  288         9.9000000000000004E+000         3.3888860339902277E-001         3.6217642835514647E+000         4.9812697121503486E+000        -1.5714380789694944E+000            0.000104           11.197351           10.533475            9.370415            8.660918            8.017172            7.168198            6.606784            6.433747            8.876188            9.785070            9.482885           10.804812            9.516884            8.930819            0.000000
  289         9.9000000000000004E+000         3.3905972664327499E-001         3.6217863610961669E+000         4.9811865281424277E+000        -1.5710482979810880E+000            0.000104           11.195980           10.532263            9.369294            8.659885            8.016187            7.167289            6.605917            6.432900            8.875149            9.783884            9.481771           10.803567            9.515761            8.929781            0.000000
  290         9.9000000000000004E+000         3.4130824883760236E-001         3.6220780796997252E+000         4.9800357121100678E+000        -1.5658597930205300E+000            0.000104           11.177369           10.516068            9.354360            8.646179            8.003078            7.155203            6.594411            6.421652            8.861328            9.767776            9.466961           10.786910            9.500790            8.915986            0.000000
  291         9.9000000000000004E+000         3.4606623163499944E-001         3.6227172356530035E+000         4.9774090201853776E+000        -1.5546458234852580E+000            0.000104           11.137030           10.480985            9.322345            8.616520            7.974740            7.129094            6.569555            6.397367            8.831423            9.732944            9.434909           10.750817            9.468381            8.886135            0.000000
  292         9.9000000000000004E+000         3.4613040073029738E-001         3.6227260366041518E+000         4.9773774033217109E+000        -1.5544996172093657E+000            0.000104           11.136495           10.480523            9.321927            8.616133            7.974371            7.128756            6.569235            6.397055            8.831032            9.732486            9.434489           10.750341            9.467957            8.885746            0.000000
  293         9.9000000000000004E+000         3.4971448960729085E-001         3.6232386206506297E+000         4.9755354054926677E+000        -1.5461082235309906E+000            0.000104           11.105590           10.453875            9.297814            8.593839            7.953145            7.109316            6.550811            6.379086            8.808539            9.706034            9.410295           10.722879            9.443457            8.863297            0.000000
  294         9.9000000000000004E+000         3.5334049954594859E-001         3.6237200769879907E+000         4.9737489438301425E+000        -1.5379597417184208E+000            0.000104           11.075884           10.428175            9.274498            8.572224            7.932265            7.090384            6.532825            6.361530            8.786738            9.680541            9.386913           10.696415            9.419776            8.841445            0.000000
  295         9.9000000000000004E+000         3.5381286114877630E-001         3.6237882438158362E+000         4.9735148933877156E+000        -1.5368599986124061E+000            0.000104           11.071840           10.424678            9.271334            8.569296            7.929439            7.087836            6.530407            6.359176            8.783785            9.677090            9.383739           10.692810            9.416562            8.838446            0.000000
