# MIST version number  = 1.0     
# MESA revision number =     7503
# photometric system   = UBV(RI)c, 2MASS, Kepler, Hipparcos, Gaia (Vega)                 
# --------------------------------------------------------------------------------------
#  Yinit        Zinit   [Fe/H]   [a/Fe]  v/vcrit                                        
# 0.2491  6.65614E-05    -2.35     0.00     0.40
# --------------------------------------------------------------------------------------
# number of isochrones =     8
# CCM89 extinction: Av =  0.061
# --------------------------------------------------------------------------------------
# number of EEPs, cols =   464   22
#   1                               2                               3                               4                               5                               6                   7                   8                   9                  10                  11                  12                  13                  14                  15                  16                  17                  18                  19                  20                  21                  22
# EEP          log10_isochrone_age_yr                    initial_mass                        log_Teff                           log_g                           log_L              Z_surf           Bessell_U           Bessell_B           Bessell_V           Bessell_R           Bessell_I             2MASS_J             2MASS_H            2MASS_Ks           Kepler_Kp          Kepler_D51        Hipparcos_Hp             Tycho_B             Tycho_V              Gaia_G               phase
  244         9.9000000000000004E+000         1.0000000000000010E-001         3.5594163636978284E+000         5.3722395819036102E+000        -2.7417856606180000E+000            0.000074           15.689243           14.235065           12.673108           11.737063           10.927850            9.871481            9.181654            8.966660           11.955948           13.453952           12.740266           14.695724           12.865566           12.000848            0.000000
  245         9.9000000000000004E+000         1.0656242327981988E-001         3.5647584520036770E+000         5.3513209476260428E+000        -2.6763872221675964E+000            0.000074           15.355680           13.996994           12.472875           11.557407           10.770018            9.729473            9.049353            8.837268           11.779675           13.218208           12.543971           14.434454           12.661694           11.826309            0.000000
  246         9.9000000000000004E+000         1.0663955356691555E-001         3.5648180090542207E+000         5.3510685395717079E+000        -2.6756249497100786E+000            0.000074           15.351916           13.994260           12.470561           11.555328           10.768175            9.727806            9.047791            8.835740           11.777628           13.215498           12.541699           14.431471           12.659338           11.824281            0.000000
  247         9.9000000000000004E+000         1.0772248782174557E-001         3.5655826353146050E+000         5.3473903747596383E+000        -2.6650744195708338E+000            0.000074           15.301362           13.957265           12.439067           11.526888           10.742750            9.704604            9.025949            8.814310           11.749579           13.178617           12.510754           14.391181           12.627286           11.796467            0.000000
  248         9.9000000000000004E+000         1.0876339389314894E-001         3.5665336997422030E+000         5.3442681618852541E+000        -2.6544821051197642E+000            0.000075           15.246506           13.917539           12.405885           11.497405           10.716995            9.681738            9.004798            8.793722           11.720576           13.139683           12.478201           14.347745           12.593407           11.767762            0.000000
  249         9.9000000000000004E+000         1.1812137286891676E-001         3.5736842683552004E+000         5.3134319261473149E+000        -2.5620868545001967E+000            0.000074           14.805761           13.592949           12.131094           11.250626           10.493912            9.480309            8.816166            8.609089           11.475511           12.816304           12.209112           13.994576           12.313509           11.524441            0.000000
  250         9.9000000000000004E+000         1.2154602383925091E-001         3.5760933147329785E+000         5.3017010540458367E+000        -2.5286589458283024E+000            0.000074           14.654607           13.480982           12.035889           11.164548           10.413823            9.407556            8.747711            8.541927           11.389264           12.703282           12.116256           13.872853           12.216722           11.438551            0.000000
  251         9.9000000000000004E+000         1.2163873406757790E-001         3.5761638241975979E+000         5.3013935545685564E+000        -2.5277429040331589E+000            0.000074           14.650379           13.477856           12.033252           11.162176           10.411626            9.405575            8.745857            8.540113           11.386887           12.700134           12.113685           13.869452           12.214038           11.436183            0.000000
  252         9.9000000000000004E+000         1.2964205705814680E-001         3.5825819641425540E+000         5.2754656981654477E+000        -2.4479566182152150E+000            0.000074           14.280128           13.202525           11.802271           10.955190           10.220181            9.233776            8.585698            8.383793           11.179049           12.422954           11.888472           13.570513           11.978455           11.229184            0.000000
  253         9.9000000000000004E+000         1.2971904997669978E-001         3.5826414378031184E+000         5.2752108941816234E+000        -2.4471927684218615E+000            0.000074           14.276663           13.199916           11.800074           10.953217           10.218347            9.232122            8.584151            8.382282           11.177064           12.420320           11.886327           13.567695           11.976213           11.227206            0.000000
  254         9.9000000000000004E+000         1.3553033245169263E-001         3.5867325480862355E+000         5.2551077590357886E+000        -2.3902592220468342E+000            0.000074           14.027120           13.009384           11.638121           10.806874           10.081451            9.107491            8.466835            8.267503           11.029787           12.227272           11.727946           13.362831           11.811100           11.080354            0.000000
  255         9.9000000000000004E+000         1.3562300323736345E-001         3.5868030853814865E+000         5.2547971867167362E+000        -2.3893401360694146E+000            0.000075           14.023069           13.006281           11.635490           10.804500           10.079235            9.105492            8.464959            8.265673           11.027398           12.224165           11.725371           13.359497           11.808417           11.077971            0.000000
  256         9.9000000000000004E+000         1.4127293433375560E-001         3.5915678843624947E+000         5.2367739676393539E+000        -2.3323600182000654E+000            0.000074           13.761679           12.806520           11.467858           10.654922            9.940207            8.981891            8.350317            8.154266           10.876718           12.023248           11.561587           13.144919           11.636995           10.927794            0.000000
  257         9.9000000000000004E+000         1.4134975779531653E-001         3.5916272550149055E+000         5.2365166571821238E+000        -2.3315946715587845E+000            0.000074           13.758283           12.803888           11.465627           10.652916            9.938331            8.980207            8.348748            8.152738           10.874694           12.020597           11.559403           13.142109           11.634716           10.925783            0.000000
  258         9.9000000000000004E+000         1.5003511330753219E-001         3.5972137564130469E+000         5.2085415517521740E+000        -2.2520763066967597E+000            0.000074           13.419751           12.536827           11.235911           10.444427            9.741863            8.802413            8.181789            7.989651           10.664532           11.751385           11.334185           12.858536           11.400322           10.716183            0.000000
  259         9.9000000000000004E+000         1.5606384975265464E-001         3.5996815997085068E+000         5.1965170171556574E+000        -2.2137616061902663E+000            0.000074           13.263790           12.410369           11.125296           10.343142            9.645833            8.715117            8.099567            7.909198           10.562509           11.624734           11.225349           12.725418           11.287781           10.614427            0.000000
  260         9.9000000000000004E+000         1.5621702144493552E-001         3.5997264818501211E+000         5.1962541177607751E+000        -2.2129364411395813E+000            0.000075           13.260664           12.407763           11.122960           10.340980            9.643765            8.713208            8.097750            7.907413           10.560332           11.622149           11.223049           12.722692           11.285416           10.612255            0.000000
  261         9.9000000000000004E+000         1.7418550709711714E-001         3.6050481461292585E+000         5.1646069335849889E+000        -2.1151039635420479E+000            0.000074           12.887953           12.096248           10.844227           10.082576            9.396709            8.485696            7.881890            7.695352           10.300291           11.310833           10.948279           12.397640           11.002527           10.352804            0.000000
  262         9.9000000000000004E+000         1.7435153362111616E-001         3.6050949162651222E+000         5.1643110528932095E+000        -2.1142061446724041E+000            0.000074           12.884660           12.093420           10.841670           10.080194            9.394430            8.483592            7.879897            7.693392           10.297895           11.308053           10.945755           12.394710           10.999933           10.350413            0.000000
  263         9.9000000000000004E+000         1.8511360079846578E-001         3.6081727019917436E+000         5.1447409198916523E+000        -2.0554332344464941E+000            0.000074           12.667578           11.907488           10.673779            9.923620            9.244737            8.345581            7.749613            7.565261           10.140415           11.123635           10.779920           12.202006           10.829610           10.193285            0.000000
  264         9.9000000000000004E+000         1.9105444349798137E-001         3.6093453133158020E+000         5.1350507160652805E+000        -2.0274614021262898E+000            0.000074           12.570830           11.822662           10.595793            9.849977            9.173739            8.279016            7.686071            7.502522           10.066400           11.039274           10.702714           12.114652           10.750694           10.119397            0.000000
  265         9.9000000000000004E+000         1.9676313288253769E-001         3.6107976454150843E+000         5.1254946663110017E+000        -1.9986294768881963E+000            0.000074           12.467218           11.732256           10.513527            9.772831            9.099927            8.210855            7.621860            7.439318            9.988852           10.950149           10.621313           12.021402           10.667311           10.042017            0.000000
  266         9.9000000000000004E+000         2.0735764897911549E-001         3.6132013321805765E+000         5.1077235309170952E+000        -1.9468436735860921E+000            0.000075           12.286264           11.572607           10.367119            9.634789            8.967437            8.087760            7.505429            7.324572            9.850139           10.792850           10.476274           11.857220           10.519065            9.903578            0.000000
  267         9.9000000000000004E+000         2.1391359675719251E-001         3.6138801035012849E+000         5.0993070102890412E+000        -1.9230054632792239E+000            0.000074           12.211161           11.504439           10.302819            9.572989            8.907186            8.030071            7.449564            7.269166            9.788105           10.724901           10.412407           11.787651           10.454221            9.841609            0.000000
  268         9.9000000000000004E+000         2.1895918654396132E-001         3.6143991594211462E+000         5.0928904014630296E+000        -1.9047333605699501E+000            0.000075           12.153828           11.452246           10.253531            9.525589            8.860971            7.985830            7.406723            7.226681            9.740530           10.672978           10.363439           11.734411           10.404521            9.794085            0.000000
  269         9.9000000000000004E+000         2.2933013871000510E-001         3.6154860461584071E+000         5.0795465366876531E+000        -1.8669412322048109E+000            0.000074           12.035196           11.344180           10.151468            9.427416            8.765293            7.894313            7.318201            7.138904            9.642002           10.565542           10.262021           11.624193           10.301602            9.695664            0.000000
  270         9.9000000000000004E+000         2.3952943182736114E-001         3.6165502228084963E+000         5.0667227983536938E+000        -1.8300927241532174E+000            0.000074           11.919933           11.238855           10.051901            9.331566            8.671898            7.805032            7.231902            7.053343            9.545822           10.461054           10.163047           11.516842           10.201208            9.599591            0.000000
  271         9.9000000000000004E+000         2.4797366932719067E-001         3.6173886382653246E+000         5.0573365000299697E+000        -1.8023800810414483E+000            0.000074           11.832981           11.159269            9.976720            9.259240            8.601522            7.737931            7.167182            6.989216            9.473253           10.382383           10.088311           11.435736           10.125403            9.527109            0.000000
  272         9.9000000000000004E+000         2.6046920459448264E-001         3.6185911343313282E+000         5.0440144386441004E+000        -1.7623478700826332E+000            0.000074           11.707893           11.044505            9.868153            9.154725            8.499818            7.640937            7.073637            6.896527            9.368402           10.269066            9.980383           11.318848           10.015982            9.422382            0.000000
  273         9.9000000000000004E+000         2.6278494937758612E-001         3.6188079544383194E+000         5.0419339462644865E+000        -1.7557328524471896E+000            0.000074           11.686935           11.025328            9.850075            9.137361            8.482965            7.624942            7.058280            6.881325            9.350981           10.250182            9.962416           11.299303            9.997749            9.404985            0.000000
  274         9.9000000000000004E+000         2.6967773644582160E-001         3.6194358172260808E+000         5.0357831879051567E+000        -1.7361551712728025E+000            0.000074           11.625375           10.968802            9.796695            9.086027            8.433116            7.577568            7.012722            6.836226            9.299485           10.194606            9.909342           11.241728            9.943938            9.353557            0.000000
  275         9.9000000000000004E+000         2.7837826843078539E-001         3.6202104836434721E+000         5.0280319338585109E+000        -1.7115271039178586E+000            0.000074           11.548243           10.897907            9.729667            9.021512            8.370440            7.517935            6.955334            6.779402            9.234771           10.124879            9.842686           11.169541            9.876395            9.288924            0.000000
  276         9.9000000000000004E+000         2.8415195996581916E-001         3.6207533189240455E+000         5.0229684278330264E+000        -1.6951489712256851E+000            0.000075           11.496584           10.850471            9.684903            8.978479            8.328705            7.478332            6.917298            6.741770            9.191603           10.078349            9.798168           11.121224            9.831281            9.245814            0.000000
  277         9.9000000000000004E+000         2.9611497977764728E-001         3.6218212529886209E+000         5.0127647607662178E+000        -1.6617289924403380E+000            0.000074           11.391884           10.754186            9.593874            8.890845            8.243639            7.397429            6.839478            6.664743            9.103701            9.983805            9.707602           11.023203            9.739550            9.158024            0.000000
  278         9.9000000000000004E+000         2.9766183402359264E-001         3.6219596789663768E+000         5.0114273111232057E+000        -1.6573914098936862E+000            0.000074           11.378305           10.741697            9.582067            8.879473            8.232602            7.386928            6.829375            6.654743            9.092294            9.971548            9.695846           11.010490            9.727649            9.146631            0.000000
  279         9.9000000000000004E+000         3.0077790453134645E-001         3.6222692880231371E+000         5.0091375911380194E+000        -1.6494135665347882E+000            0.000074           11.352385           10.718082            9.559955            8.858315            8.212200            7.367734            6.811084            6.636686            9.071064            9.948500            9.673841           10.986395            9.705330            9.125434            0.000000
  280         9.9000000000000004E+000         3.0917577381929617E-001         3.6230420703768713E+000         5.0028992696631311E+000        -1.6277830530194772E+000            0.000074           11.283378           10.654895            9.500513            8.801251            8.157030            7.315547            6.761106            6.587297            9.013816            9.886733            9.614661           10.921995            9.645375            9.068268            0.000000
  281         9.9000000000000004E+000         3.0933731531695968E-001         3.6230590576824890E+000         5.0027878200456861E+000        -1.6273788999351497E+000            0.000074           11.282085           10.653696            9.499392            8.800175            8.155995            7.314577            6.760177            6.586384            9.012735            9.885588            9.613542           10.920774            9.644243            9.067188            0.000000
  282         9.9000000000000004E+000         3.2091267479968039E-001         3.6242312955399369E+000         4.9950925072682546E+000        -1.5990287740731843E+000            0.000074           11.189476           10.569125            9.420365            8.724644            8.083384            7.246469            6.695347            6.522496            8.936934            9.803524            9.534867           10.834493            9.564451            8.991500            0.000000
  283         9.9000000000000004E+000         3.2100143187084723E-001         3.6242409064153533E+000         4.9950364237894016E+000        -1.5988149082149974E+000            0.000074           11.188767           10.568480            9.419765            8.724072            8.082835            7.245957            6.694861            6.522018            8.936358            9.802900            9.534270           10.833834            9.563845            8.990927            0.000000
  284         9.9000000000000004E+000         3.2377932301918538E-001         3.6245751775418888E+000         4.9932678540760920E+000        -1.5919848736214095E+000            0.000074           11.165571           10.547520            9.400374            8.705669            8.065274            7.229666            6.679486            6.506918            8.917865            9.782681            9.514989           10.812395            9.544237            8.972470            0.000000
  285         9.9000000000000004E+000         3.2399285691891094E-001         3.6245994179248138E+000         4.9931412534548292E+000        -1.5914759503601184E+000            0.000074           11.163813           10.545954            9.398927            8.704301            8.063965            7.228451            6.678346            6.505795            8.916489            9.781150            9.513552           10.810792            9.542772            8.971095            0.000000
  286         9.9000000000000004E+000         3.3931878122205295E-001         3.6263701982623937E+000         4.9842442200458912E+000        -1.5554334208677079E+000            0.000074           11.040795           10.435355            9.296721            8.607354            7.971612            7.142591            6.597147            6.426077            8.819116            9.674287            9.411939           10.697577            9.439412            8.873911            0.000000
  287         9.9000000000000004E+000         3.3934716187643138E-001         3.6263738311204774E+000         4.9842293572365879E+000        -1.5553679744375135E+000            0.000074           11.040565           10.435150            9.296534            8.607178            7.971445            7.142437            6.597001            6.425935            8.818938            9.674089            9.411753           10.697367            9.439222            8.873734            0.000000
  288         9.9000000000000004E+000         3.4094448520853832E-001         3.6265776354542827E+000         4.9832725827112023E+000        -1.5515562783856782E+000            0.000075           11.027225           10.423281            9.285636            8.596884            7.961695            7.133407            6.588480            6.417589            8.808603            9.662642            9.400924           10.685189            9.428191            8.863420            0.000000
  289         9.9000000000000004E+000         3.4114872698966237E-001         3.6266034833271021E+000         4.9831762711717840E+000        -1.5510980261418217E+000            0.000074           11.025517           10.421816            9.284300            8.595636            7.960512            7.132323            6.587480            6.416605            8.807347            9.661194            9.399601           10.683680            9.426838            8.862165            0.000000
  290         9.9000000000000004E+000         3.4374469445604300E-001         3.6269345183370585E+000         4.9818740479640411E+000        -1.5451836060566322E+000            0.000074           11.004512           10.403226            9.267293            8.579618            7.945374            7.118351            6.574335            6.403744            8.791258            9.643279            9.382707           10.664586            9.409615            8.846107            0.000000
  291         9.9000000000000004E+000         3.4813890288354099E-001         3.6275037266694605E+000         4.9794339848739515E+000        -1.5349180951528256E+000            0.000075           10.968021           10.371025            9.237831            8.551893            7.919153            7.094103            6.551479            6.381379            8.763387            9.612181            9.353444           10.631502            9.379780            8.818290            0.000000
  292         9.9000000000000004E+000         3.4822018115666037E-001         3.6275146510421026E+000         4.9793946602881558E+000        -1.5347351957532633E+000            0.000074           10.967317           10.370430            9.237292            8.551393            7.918681            7.093672            6.551085            6.380991            8.762882            9.611590            9.352912           10.630887            9.379233            8.817786            0.000000
  293         9.9000000000000004E+000         3.5046819856461975E-001         3.6278317663809885E+000         4.9782762169498245E+000        -1.5295409236762965E+000            0.000074           10.948256           10.353804            9.222198            8.537272            7.905402            7.081482            6.539664            6.369843            8.748678            9.595561            9.337931           10.613762            9.363931            8.803610            0.000000
  294         9.9000000000000004E+000         3.5674348894889152E-001         3.6286641820455681E+000         4.9751866548112105E+000        -1.5154467663679985E+000            0.000074           10.896879           10.309025            9.181470            8.499131            7.869478            7.048361            6.508504            6.339406            8.710307            9.552274            9.297507           10.567645            9.322654            8.765310            0.000000
  295         9.9000000000000004E+000         3.5700903389418037E-001         3.6287023714854598E+000         4.9750627400048382E+000        -1.5148386413169164E+000            0.000074           10.894616           10.307068            9.179699            8.497480            7.867928            7.046939            6.507170            6.338106            8.708644            9.550384            9.295751           10.565626            9.320858            8.763651            0.000000
  296         9.9000000000000004E+000         3.5927770644009038E-001         3.6290458917177943E+000         4.9740042503521256E+000        -1.5096561873034817E+000            0.000074           10.874768           10.290129            9.164451            8.483330            7.854679            7.034863            6.495934            6.327156            8.694389            9.533958            9.280639           10.548115            9.305380            8.749423            0.000000
  297         9.9000000000000004E+000         3.6003233447703809E-001         3.6291696654126557E+000         4.9736750137406789E+000        -1.5079101131429220E+000            0.000074           10.867800           10.284297            9.159236            8.478527            7.850196            7.030816            6.492218            6.323533            8.689543            9.528258            9.275479           10.542067            9.300081            8.744586            0.000000
  298         9.9000000000000004E+000         3.6288856026633970E-001         3.6295708117108032E+000         4.9727718105378376E+000        -1.5020033683820291E+000            0.000074           10.845190           10.264957            9.141850            8.462397            7.835111            7.017077            6.479410            6.311074            8.673297            9.509595            9.258244           10.522072            9.282432            8.728372            0.000000
  299         9.9000000000000004E+000         3.6574192948534895E-001         3.6299708003703612E+000         4.9715092629365198E+000        -1.4957451633467163E+000            0.000074           10.821632           10.244754            9.123604            8.445418            7.819160            7.002468            6.465708            6.297723            8.656196            9.490023            9.240150           10.501203            9.263921            8.711302            0.000000
  300         9.9000000000000004E+000         3.6775218642605950E-001         3.6303443339034200E+000         4.9703510113214007E+000        -1.4906659959373203E+000            0.000074           10.801027           10.227665            9.108384            8.431447            7.806134            6.990741            6.454939            6.287247            8.642093            9.473309            9.225099           10.483451            9.248447            8.697225            0.000000
  301         9.9000000000000004E+000         3.6779766897722155E-001         3.6303518159002484E+000         4.9703263371370099E+000        -1.4905572737046617E+000            0.000074           10.800607           10.227308            9.108064            8.431150            7.805856            6.990488            6.454702            6.287016            8.641793            9.472963            9.224781           10.483082            9.248122            8.696926            0.000000
  302         9.9000000000000004E+000         3.7341788135247828E-001         3.6314835754145340E+000         4.9661037017887368E+000        -1.4752286855316381E+000            0.000073           10.738600           10.175886            9.062284            8.389127            7.766645            6.955161            6.422056            6.255306            8.599369            9.422775            9.179494           10.429654            9.201582            8.654576            0.000000
  303         9.9000000000000004E+000         3.8038558523192445E-001         3.6330168677521995E+000         4.9604026338319356E+000        -1.4553432809241391E+000            0.000072           10.656456           10.108565            9.002625            8.334601            7.715812            6.909585            6.379968            6.214502            8.544274            9.356958            9.120514           10.359550            9.140899            8.599573            0.000000
  304         9.9000000000000004E+000         3.8048668999417484E-001         3.6330399033733176E+000         4.9603166189191246E+000        -1.4550493772002933E+000            0.000072           10.655284           10.107582            9.001753            8.333800            7.715067            6.908915            6.379334            6.213893            8.543467            9.356016            9.119650           10.358529            9.140012            8.598767            0.000000
  305         9.9000000000000004E+000         3.8911400666393725E-001         3.6349193537881765E+000         4.9531738447485978E+000        -1.4306740870940837E+000            0.000072           10.554886           10.025493            8.929026            8.267345            7.652974            6.853190            6.327454            6.163675            8.476297            9.275812            9.047733           10.273002            9.066044            8.531699            0.000000
  306         9.9000000000000004E+000         3.8994338040040866E-001         3.6351309054257119E+000         4.9524539882092764E+000        -1.4281738633685008E+000            0.000072           10.544093           10.016853            8.921449            8.260484            7.646592            6.847536            6.322240            6.158644            8.469351            9.267345            9.040250           10.263965            9.058327            8.524763            0.000000
  307         9.9000000000000004E+000         3.9845131269415324E-001         3.6372587685611681E+000         4.9450044605502521E+000        -1.4028326424836710E+000            0.000072           10.435769            9.929892            8.845102            8.191273            7.582114            6.790219            6.269007            6.107340            8.399289            9.182335            8.964815           10.173025            8.980587            8.454796            0.000000
  308         9.9000000000000004E+000         4.0595819215054424E-001         3.6394545294837761E+000         4.9380650463360576E+000        -1.3793122228661585E+000            0.000071           10.330461            9.847050            8.773219            8.126755            7.522321            6.737759            6.220543            6.060907            8.333860            9.101434            8.893850           10.086018            8.907281            8.389446            0.000000
  309         9.9000000000000004E+000         4.1338090620310025E-001         3.6419081601787702E+000         4.9308769423698644E+000        -1.3547162061221520E+000            0.000071           10.216837            9.759015            8.697452            8.059196            7.459905            6.683545            6.170577            6.013233            8.265248            9.015546            8.819072            9.993249            8.829941            8.320902            0.000000
  310         9.9000000000000004E+000         4.1979222359251533E-001         3.6441290572379046E+000         4.9244986002865963E+000        -1.3328955884460782E+000            0.000071           10.115238            9.680752            8.630300            7.999408            7.404695            6.635671            6.126427            5.971183            8.204487            8.939376            8.752758            9.910656            8.761384            8.260182            0.000000
  311         9.9000000000000004E+000         4.3737169362219608E-001         3.6494261702767679E+000         4.9077819696618015E+000        -1.2770068526966873E+000            0.000071            9.865973            9.485853            8.461816            7.847979            7.264171            6.512168            6.011189            5.861139            8.050715            8.751097            8.585935            9.705499            8.589635            8.106459            0.000000
  312         9.9000000000000004E+000         4.3761747918736976E-001         3.6495050999908694E+000         4.9075418208758519E+000        -1.2761995500325478E+000            0.000071            9.862364            9.483027            8.459381            7.845788            7.262148            6.510393            6.009534            5.859563            8.048492            8.748393            8.583521            9.702522            8.587153            8.104237            0.000000
  313         9.9000000000000004E+000         4.4032202995301017E-001         3.6503692182735157E+000         4.9049104899274685E+000        -1.2673450448057670E+000            0.000071            9.822768            9.452060            8.432713            7.821772            7.239967            6.490934            5.991417            5.842299            8.024131            8.718793            8.557066            9.669889            8.559966            8.079875            0.000000
  314         9.9000000000000004E+000         4.5119901750874392E-001         3.6539378055767258E+000         4.8942555438563859E+000        -1.2315311117783427E+000            0.000070            9.663399            9.326636            8.325006            7.724613            7.150529            6.412484            5.918405            5.772878            7.925593            8.600272            8.450007            9.537758            8.450140            7.981279            0.000000
  315         9.9000000000000004E+000         4.6821093457449497E-001         3.6608661456956395E+000         4.8766069062905357E+000        -1.1704892614656912E+000            0.000070            9.379946            9.106791            8.139153            7.558302            6.999084            6.281849            5.797766            5.659427            7.756423            8.397602            8.264791            9.304902            8.260523            7.812069            0.000000
  316         9.9000000000000004E+000         4.6838434144156116E-001         3.6609373268601839E+000         4.8764262724693888E+000        -1.1698652263218288E+000            0.000070            9.377075            9.104557            8.137271            7.556610            6.997543            6.280517            5.796529            5.658266            7.754705            8.395564            8.262911            9.302536            8.258602            7.810346            0.000000
  317         9.9000000000000004E+000         4.7029888609377618E-001         3.6617131485369225E+000         4.8744350815034432E+000        -1.1630188323603952E+000            0.000070            9.345658            9.080112            8.116662            7.538069            6.980647            6.265906            5.782954            5.645519            7.735869            8.373274            8.242294            9.276639            8.237550            7.791463            0.000000
  318         9.9000000000000004E+000         4.7667603204850839E-001         3.6643255845531111E+000         4.8677901419207341E+000        -1.1400887362551020E+000            0.000070            9.240571            8.998366            8.047813            7.476120            6.924178            6.217096            5.737584            5.602939            7.672899            8.299028            8.173364            9.189999            8.167249            7.728354            0.000000
  319         9.9000000000000004E+000         4.9255387793235522E-001         3.6710473437226656E+000         4.8509816684895011E+000        -1.0818698211832227E+000            0.000069            8.975619            8.791792            7.874235            7.319918            6.781730            6.094056            5.623033            5.495549            7.513959            8.113070            7.999326            8.970942            7.990138            7.569143            0.000000
  320         9.9000000000000004E+000         4.9458938536572167E-001         3.6718808850437079E+000         4.8488467738972894E+000        -1.0745477690553007E+000            0.000069            8.942939            8.766097            7.852615            7.300416            6.763903            6.078600            5.608588            5.481989            7.494112            8.090016            7.977618            8.943731            7.968081            7.549250            0.000000
  321         9.9000000000000004E+000         4.9879624412381984E-001         3.6736304534538422E+000         4.8443674068809033E+000        -1.0592265666115039E+000            0.000069            8.874751            8.712400            7.807466            7.259698            6.726682            6.046327            5.578426            5.453673            7.452659            8.041964            7.932265            8.886875            7.922018            7.507695            0.000000
  322         9.9000000000000004E+000         5.0138094732749361E-001         3.6749710189499267E+000         4.8419655562122061E+000        -1.0492880468840240E+000            0.000069            8.827299            8.675876            7.777469            7.233069            6.702724            6.026148            5.559916            5.436545            7.425465            8.009774            7.902097            8.847948            7.891324            7.480416            0.000000
  323         9.9000000000000004E+000         5.1770877744088417E-001         3.6832011843241199E+000         4.8264120130325052E+000        -9.8720795874052236E-001            0.000069            8.538612            8.451055            7.592664            7.068252            6.554403            5.900402            5.443985            5.328984            7.257417            7.811835            7.715862            8.608779            7.702232            7.311755            0.000000
  324         9.9000000000000004E+000         5.2401845612461084E-001         3.6865669024232797E+000         4.8204972036645426E+000        -9.6260774563069051E-001            0.000068            8.424778            8.362145            7.520127            7.003498            6.496706            5.851356            5.398789            5.287152            7.191441            7.734593            7.642523            8.514097            7.627968            7.245472            0.000000
  325         9.9000000000000004E+000         5.3301959959888945E-001         3.6912172459869725E+000         4.8118098275163295E+000        -9.2786876225546566E-001            0.000068            8.268180            8.238487            7.418896            6.913009            6.415779            5.782052            5.334608            5.227594            7.099052            7.627426            7.540036            8.382693            7.524360            7.152622            0.000000
