# MIST version number  = 1.0     
# MESA revision number =     7503
# photometric system   = UBV(RI)c, 2MASS, Kepler, Hipparcos, Gaia (Vega)                 
# --------------------------------------------------------------------------------------
#  Yinit        Zinit   [Fe/H]   [a/Fe]  v/vcrit                                        
# 0.2491  5.28740E-05    -2.45     0.00     0.40
# --------------------------------------------------------------------------------------
# number of isochrones =     8
# CCM89 extinction: Av =  0.061
# --------------------------------------------------------------------------------------
# number of EEPs, cols =   464   22
#   1                               2                               3                               4                               5                               6                   7                   8                   9                  10                  11                  12                  13                  14                  15                  16                  17                  18                  19                  20                  21                  22
# EEP          log10_isochrone_age_yr                    initial_mass                        log_Teff                           log_g                           log_L              Z_surf           Bessell_U           Bessell_B           Bessell_V           Bessell_R           Bessell_I             2MASS_J             2MASS_H            2MASS_Ks           Kepler_Kp          Kepler_D51        Hipparcos_Hp             Tycho_B             Tycho_V              Gaia_G               phase
  244         9.9000000000000004E+000         1.0000000000000006E-001         3.5644048448492422E+000         5.3787703858313165E+000        -2.7283626010922042E+000            0.000055           15.476428           14.085642           12.568426           11.659178           10.877045            9.843295            9.167027            8.956729           11.880557           13.297226           12.640506           14.528311           12.753695           11.927639            0.000000
  245         9.9000000000000004E+000         1.0539550444579056E-001         3.5684446684323960E+000         5.3608778690087338E+000        -2.6753089793854485E+000            0.000055           15.227449           13.902413           12.412678           11.519256           10.751078            9.728776            9.060314            8.852148           11.742474           13.115039           12.487853           14.328171           12.595270           11.790687            0.000000
  246         9.9000000000000004E+000         1.0547257294854058E-001         3.5685006873918943E+000         5.3606188351312944E+000        -2.6745544510524764E+000            0.000055           15.223974           13.899837           12.410481           11.517281           10.749285            9.727142            9.058791            8.850651           11.740517           13.112472           12.485703           14.325363           12.593038           11.788745            0.000000
  247         9.9000000000000004E+000         1.0684284510340368E-001         3.5694632490874780E+000         5.3559551778428984E+000        -2.6612147447359500E+000            0.000055           15.163225           13.854765           12.371963           11.482540           10.717621            9.698201            9.031742            8.824028           11.706078           13.067453           12.447964           14.276299           12.553883           11.754547            0.000000
  248         9.9000000000000004E+000         1.0725591153748511E-001         3.5698267738885598E+000         5.3546892107310979E+000        -2.6570399485460583E+000            0.000055           15.142798           13.839806           12.359422           11.471404           10.707646            9.689308            9.023579            8.816048           11.695049           13.052680           12.435711           14.259938           12.541096           11.743613            0.000000
  249         9.9000000000000004E+000         1.1694599921540468E-001         3.5768405771523875E+000         5.3219956689226526E+000        -2.5621648379599344E+000            0.000055           14.709137           13.523272           12.090068           11.228226           10.482727            9.484781            8.832510            8.627915           11.452112           12.734442           12.172757           13.916277           12.267445           11.501965            0.000000
  250         9.9000000000000004E+000         1.2132706070181645E-001         3.5799173950242702E+000         5.3069788164002540E+000        -2.5194116000071634E+000            0.000055           14.515768           13.382833           11.970571           11.120051           10.381544            9.392456            8.745578            8.542529           11.343494           12.592239           12.056101           13.762403           12.145987           11.393718            0.000000
  251         9.9000000000000004E+000         1.2142422538571214E-001         3.5799875476529412E+000         5.3066490791138117E+000        -2.5184590602006574E+000            0.000055           14.511398           13.379649           11.967873           11.117622           10.379273            9.390396            8.743649            8.540637           11.341051           12.588986           12.053471           13.758955           12.143238           11.391283            0.000000
  252         9.9000000000000004E+000         1.2845961805195144E-001         3.5852102684326166E+000         5.2830406611837004E+000        -2.4491827194806821E+000            0.000055           14.194198           13.148576           11.772224           10.941337           10.214548            9.240960            8.603504            8.403349           11.163694           12.355121           11.862417           13.508886           11.943993           11.214446            0.000000
  253         9.9000000000000004E+000         1.2853656757371595E-001         3.5852662123322694E+000         5.2827792547523513E+000        -2.4484265390911455E+000            0.000055           14.190813           13.146027           11.770062           10.939395           10.212727            9.239312            8.601965            8.401840           11.161736           12.352509           11.860308           13.506142           11.941788           11.212493            0.000000
  254         9.9000000000000004E+000         1.3598620203938347E-001         3.5905057140438315E+000         5.2569984882248759E+000        -2.3754519052752636E+000            0.000055           13.872587           12.904664           11.564001           10.754037           10.038221            9.080211            8.451848            8.254790           10.974340           12.107739           11.658725           13.246990           11.731886           11.025483            0.000000
  255         9.9000000000000004E+000         1.3608336263850943E-001         3.5905759325785871E+000         5.2566652254906989E+000        -2.3744955919578654E+000            0.000055           13.868405           12.901472           11.561275           10.751614           10.035902            9.078135            8.449883            8.252868           10.971895           12.104509           11.656058           13.243572           11.729109           11.023043            0.000000
  256         9.9000000000000004E+000         1.4008442031452298E-001         3.5936626148441935E+000         5.2433542761592333E+000        -2.3347471500193899E+000            0.000055           13.691674           12.766520           11.446502           10.648075            9.938890            8.991141            8.368768            8.173717           10.868454           11.968410           11.544158           13.099118           11.612011           10.919904            0.000000
  257         9.9000000000000004E+000         1.4016120658647829E-001         3.5937184578425891E+000         5.2430904302338961E+000        -2.3339895094585956E+000            0.000055           13.688377           12.763978           11.444324           10.646102            9.937036            8.989468            8.367203            8.172188           10.866464           11.965846           11.542053           13.096407           11.609791           10.917918            0.000000
  258         9.9000000000000004E+000         1.5130613228983433E-001         3.6008806366738519E+000         5.2071893436978227E+000        -2.2319777188195915E+000            0.000055           13.257021           12.425078           11.152057           10.378165            9.684063            8.760847            8.153332            7.962925           10.596741           11.625198           11.254339           12.737023           11.311869           10.648857            0.000000
  259         9.9000000000000004E+000         1.5341565503795337E-001         3.6017340688727297E+000         5.2030100654327880E+000        -2.2186620464924056E+000            0.000055           13.203318           12.381742           11.113626           10.342839            9.650558            8.730407            8.124799            7.934970           10.561248           11.581791           11.216537           12.691287           11.273027           10.613453            0.000000
  260         9.9000000000000004E+000         1.5356644306453121E-001         3.6017797786273942E+000         5.2027516413017310E+000        -2.2178440025338833E+000            0.000055           13.200173           12.379160           11.111310           10.340689            9.648504            8.728516            8.123007            7.933209           10.559089           11.579202           11.214254           12.688578           11.270688           10.611299            0.000000
  261         9.9000000000000004E+000         1.7331952058908695E-001         3.6077648272247265E+000         5.1680526422392958E+000        -2.1098469496651795E+000            0.000055           12.791703           12.037190           10.803698           10.054667            9.375487            8.477429            7.886539            7.700696           10.271351           11.239141           10.910762           12.332066           10.958973           10.324250            0.000000
  262         9.9000000000000004E+000         1.7345847917875268E-001         3.6078057736829416E+000         5.1678037643226640E+000        -2.1090870643362138E+000            0.000055           12.788943           12.034819           10.801553           10.052656            9.373566            8.475657            7.884862            7.699048           10.269330           11.236822           10.908639           12.329606           10.956800           10.322234            0.000000
  263         9.9000000000000004E+000         1.8427729402447540E-001         3.6109798238550939E+000         5.1479139598861217E+000        -2.0494676334810116E+000            0.000055           12.570632           11.846836           10.631373            9.893611            9.221620            8.335773            7.753763            7.569934           10.109382           11.051839           10.740363           12.135306           10.784257           10.162634            0.000000
  264         9.9000000000000004E+000         1.8636898054355569E-001         3.6114040940330074E+000         5.1444802647518264E+000        -2.0395280897366344E+000            0.000055           12.536382           11.816743           10.603674            9.867427            9.196381            8.312148            7.731309            7.547754           10.083064           11.022088           10.712922           12.104383           10.756198           10.136360            0.000000
  265         9.9000000000000004E+000         1.9235299926236238E-001         3.6131319762096612E+000         5.1339314120571835E+000        -2.0073812208338806E+000            0.000055           12.419850           11.715154           10.511541            9.781170            9.114040            8.236516            7.660530            7.478145            9.996346           10.922895           10.621705           11.999744           10.662565           10.049833            0.000000
