# MIST version number  = 1.0     
# MESA revision number =     7503
# photometric system   = HST/ACS/WFC (Vega)                                              
# --------------------------------------------------------------------------------------
#  Yinit        Zinit   [Fe/H]   [a/Fe]  v/vcrit                                        
# 0.2492  1.05479E-04    -2.15     0.00     0.40
# --------------------------------------------------------------------------------------
# number of isochrones =     8
# CCM89 extinction: Av =  0.000
# --------------------------------------------------------------------------------------
# number of EEPs, cols =   464   21
#   1                               2                               3                               4                               5                               6                   7                   8                   9                  10                  11                  12                  13                  14                  15                  16                  17                  18                  19                  20                  21
# EEP          log10_isochrone_age_yr                    initial_mass                        log_Teff                           log_g                           log_L              Z_surf       ACS_WFC_F435W       ACS_WFC_F475W       ACS_WFC_F502N       ACS_WFC_F550M       ACS_WFC_F555W       ACS_WFC_F606W       ACS_WFC_F625W       ACS_WFC_F658N       ACS_WFC_F660N       ACS_WFC_F775W       ACS_WFC_F814W      ACS_WFC_F850LP       ACS_WFC_F892N               phase
  244         9.9000000000000004E+000         1.0000000000000019E-001         3.5494394013950004E+000         5.3591779740481984E+000        -2.7686317796695907E+000            0.000114           14.451746           13.773623           13.742078           12.577188           12.914090           12.318480           11.968499           11.544759           11.623086           11.116639           10.984561           10.668868           10.702727            0.000000
  245         9.9000000000000004E+000         1.0889626094787852E-001         3.5573860191462390E+000         5.3322071048606627E+000        -2.6785437077318921E+000            0.000114           14.138603           13.483554           13.429067           12.322050           12.644583           12.065945           11.719614           11.316335           11.396209           10.898768           10.771421           10.462167           10.495905            0.000000
  246         9.9000000000000004E+000         1.0897351480366552E-001         3.5574526523788732E+000         5.3319679484525349E+000        -2.6777659470252821E+000            0.000114           14.135870           13.481017           13.426370           12.319812           12.642238           12.063740           11.717445           11.314325           11.394203           10.896872           10.769566           10.460370           10.494107            0.000000
  247         9.9000000000000004E+000         1.0948177325842935E-001         3.5578214077688575E+000         5.3302607685931171E+000        -2.6727937692406005E+000            0.000114           14.119113           13.465359           13.409654           12.305922           12.627688           12.049976           11.703894           11.301699           11.381601           10.884834           10.757746           10.448865           10.482600            0.000000
  248         9.9000000000000004E+000         1.1177835860447655E-001         3.5599475514494880E+000         5.3234260641935673E+000        -2.6493664182671743E+000            0.000114           14.035591           13.387299           13.327188           12.237235           12.555839           11.982570           11.637739           11.240198           11.320476           10.827219           10.701444           10.394597           10.428263            0.000000
  249         9.9000000000000004E+000         1.2047212017594099E-001         3.5673716507608275E+000         5.2963044405966393E+000        -2.5619308875807212E+000            0.000114           13.724574           13.097749           13.022938           11.981296           12.289330           11.732384           11.392954           11.007849           11.089979           10.609499           10.487792           10.188963           10.222479            0.000000
  250         9.9000000000000004E+000         1.2198395011411979E-001         3.5684451541503952E+000         5.2911455293370011E+000        -2.5471536374705792E+000            0.000114           13.673394           13.049888           12.972112           11.939012           12.245278           11.690890           11.352348           10.968914           11.051289           10.572609           10.451365           10.153770           10.187296            0.000000
  251         9.9000000000000004E+000         1.2206775143130934E-001         3.5685163772869104E+000         5.2908825054780451E+000        -2.5463105916981621E+000            0.000114           13.670370           13.047079           12.969164           11.936538           12.242706           11.688478           11.349993           10.966657           11.049047           10.570492           10.449278           10.151768           10.185292            0.000000
  252         9.9000000000000004E+000         1.3200693507053757E-001         3.5773253555624289E+000         5.2603157721289451E+000        -2.4455044156842809E+000            0.000114           13.293522           12.697491           12.593866           11.634797           11.925116           11.393025           11.062366           10.693068           10.776799           10.312646           10.194113            9.907431            9.940992            0.000000
  253         9.9000000000000004E+000         1.3208401478266746E-001         3.5773918887448168E+000         5.2600741730401674E+000        -2.4447252270832927E+000            0.000114           13.290554           12.694736           12.590878           11.632442           11.922624           11.390711           11.060117           10.690928           10.774669           10.310616           10.192105            9.905503            9.939066            0.000000
