# MIST version number  = 1.0     
# MESA revision number =     7503
# photometric system   = HST/ACS/WFC (Vega)                                              
# --------------------------------------------------------------------------------------
#  Yinit        Zinit   [Fe/H]   [a/Fe]  v/vcrit                                        
# 0.2492  1.32778E-04    -2.05     0.00     0.40
# --------------------------------------------------------------------------------------
# number of isochrones =     8
# CCM89 extinction: Av =  0.000
# --------------------------------------------------------------------------------------
# number of EEPs, cols =   464   21
#   1                               2                               3                               4                               5                               6                   7                   8                   9                  10                  11                  12                  13                  14                  15                  16                  17                  18                  19                  20                  21
# EEP          log10_isochrone_age_yr                    initial_mass                        log_Teff                           log_g                           log_L              Z_surf       ACS_WFC_F435W       ACS_WFC_F475W       ACS_WFC_F502N       ACS_WFC_F550M       ACS_WFC_F555W       ACS_WFC_F606W       ACS_WFC_F625W       ACS_WFC_F658N       ACS_WFC_F660N       ACS_WFC_F775W       ACS_WFC_F814W      ACS_WFC_F850LP       ACS_WFC_F892N               phase
  244         9.9000000000000004E+000         1.0000000000000023E-001         3.5444509202435865E+000         5.3526471701204912E+000        -2.7820548391953865E+000            0.000133           14.560032           13.868605           13.858571           12.648397           12.995914           12.386873           12.034372           11.594163           11.672288           11.159858           11.024448           10.703368           10.737404            0.000000
  245         9.9000000000000004E+000         1.1006317978190783E-001         3.5536998027175204E+000         5.3226501834779718E+000        -2.6796219505140400E+000            0.000133           14.203729           13.538233           13.495088           12.359253           12.687346           12.098614           11.749771           11.340837           11.420395           10.914490           10.783788           10.469460           10.503466            0.000000
  246         9.9000000000000004E+000         1.1014049542204049E-001         3.5537699740412001E+000         5.3224176528929483E+000        -2.6788364456828839E+000            0.000133           14.200984           13.535690           13.492377           12.357006           12.684984           12.096395           11.747584           11.338827           11.418399           10.912577           10.781917           10.467649           10.501654            0.000000
  247         9.9000000000000004E+000         1.1036141597677122E-001         3.5539407939959848E+000         5.3216959655098561E+000        -2.6766534440754843E+000            0.000133           14.193590           13.528796           13.484955           12.350897           12.678555           12.090326           11.741596           11.333298           11.412907           10.907272           10.776713           10.462584           10.496589            0.000000
  248         9.9000000000000004E+000         1.1328584096014037E-001         3.5566544773031303E+000         5.3130050153477235E+000        -2.6468085748408798E+000            0.000133           14.087368           13.430491           13.380313           12.264187           12.587568           12.004947           11.657556           11.255450           11.335632           10.833668           10.704809           10.393155           10.427084            0.000000
  249         9.9000000000000004E+000         1.2164749382945307E-001         3.5642153419636413E+000         5.2877406978213015E+000        -2.5618529041209839E+000            0.000133           13.781115           13.146805           13.082220           12.013288           12.326359           11.759626           11.416769           11.027564           11.109385           10.620208           10.496058           10.192507           10.226183            0.000000
  250         9.9000000000000004E+000         1.2220291325155420E-001         3.5646210738591031E+000         5.2858677669825846E+000        -2.5564009832917178E+000            0.000133           13.762193           13.129141           13.063613           11.997577           12.310045           11.744215           11.401644           11.013060           11.094971           10.606503           10.482580           10.179492           10.213164            0.000000
  251         9.9000000000000004E+000         1.2228226011317506E-001         3.5646926538315671E+000         5.2856269809327898E+000        -2.5555944355306637E+000            0.000133           13.759253           13.126424           13.060784           11.995171           12.307553           11.741874           11.399350           11.010860           11.092787           10.604452           10.480569           10.177567           10.211236            0.000000
  252         9.9000000000000004E+000         1.3318937407673301E-001         3.5746970512723659E+000         5.2527408091106915E+000        -2.4442783144188138E+000            0.000133           13.342651           12.740528           12.652772           11.658247           11.955701           11.413440           11.078799           10.704614           10.788213           10.318077           10.198511            9.908006            9.941454            0.000000
  253         9.9000000000000004E+000         1.3326649718565128E-001         3.5747671142156654E+000         5.2525058124694386E+000        -2.4434914564140087E+000            0.000133           13.339670           12.737768           12.649820           11.655864           11.953192           11.411101           11.076521           10.702454           10.786061           10.316039           10.196493            9.906075            9.939524            0.000000
  254         9.9000000000000004E+000         1.3416272368862012E-001         3.5754130502134478E+000         5.2494355714685277E+000        -2.4346811723615471E+000            0.000133           13.308050           12.708195           12.617990           11.630103           11.926105           11.385706           11.051724           10.678818           10.762510           10.293486           10.174126            9.884487            9.917948            0.000000
  255         9.9000000000000004E+000         1.3424192503392562E-001         3.5754845437901861E+000         5.2491930703948464E+000        -2.4338737684040641E+000            0.000133           13.304970           12.705338           12.614916           11.627646           11.923514           11.383297           11.049380           10.676594           10.760295           10.291387           10.172050            9.882500            9.915960            0.000000
  256         9.9000000000000004E+000         1.4483847639145353E-001         3.5852836929173986E+000         5.2170330420797137E+000        -2.3251986227420920E+000            0.000133           12.878746           12.310270           12.189868           11.289763           11.566887           11.052395           10.727997           10.370483           10.455300           10.002253            9.887034            9.609524            9.642956            0.000000
  257         9.9000000000000004E+000         1.4491541142183118E-001         3.5853536465318543E+000         5.2167953380268060E+000        -2.3244101578593508E+000            0.000133           12.875669           12.307418           12.186838           11.287303           11.564304           11.049990           10.725659           10.368242           10.453066           10.000134            9.884945            9.607525            9.640953            0.000000
  258         9.9000000000000004E+000         1.4622205636062574E-001         3.5862131156306329E+000         5.2125981759152262E+000        -2.3123720703282626E+000            0.000133           12.831474           12.265978           12.142523           11.251201           11.526447           11.014493           10.691081           10.334941           10.419854            9.968292            9.853509            9.577147            9.610539            0.000000
  259         9.9000000000000004E+000         1.6400843389675845E-001         3.5935241922158379E+000         5.1770378723242656E+000        -2.1990602852838479E+000            0.000133           12.429895           11.886833           11.741575           10.915863           11.176950           10.684950           10.369420           10.022883           10.108351            9.669153            9.558417            9.290357            9.323711            0.000000
  260         9.9000000000000004E+000         1.6416875658614835E-001         3.5935665915183024E+000         5.1767615471379074E+000        -2.1982137569566751E+000            0.000133           12.427120           11.884183           11.738820           10.913450           11.174463           10.682572           10.367090           10.020606           10.106075            9.666953            9.556243            9.288226            9.321581            0.000000
  261         9.9000000000000004E+000         1.7678346662120767E-001         3.5968981028428519E+000         5.1542698076220708E+000        -2.1308750051726548E+000            0.000133           12.207108           11.673590           11.519148           10.722029           10.976897           10.493982           10.182281            9.839731            9.925323            9.492316            9.383672            9.118958            9.152331            0.000000
  262         9.9000000000000004E+000         1.7703069694820658E-001         3.5969623440116627E+000         5.1538329186048495E+000        -2.1295633856809757E+000            0.000133           12.202853           11.669512           11.514906           10.718308           10.973060           10.490319           10.178693            9.836213            9.921807            9.488924            9.380321            9.115667            9.149041            0.000000
  263         9.9000000000000004E+000         1.8762252112043690E-001         3.5997513364016913E+000         5.1352217999082423E+000        -2.0733300373429402E+000            0.000133           12.020967           11.495110           11.333801           10.559022           10.808787           10.333569           10.025117            9.685605            9.771221            9.343916            9.237219            8.974936            9.008345            0.000000
  264         9.9000000000000004E+000         2.0511083236125838E-001         3.6031689711641848E+000         5.1067620700056429E+000        -1.9912613392952543E+000            0.000133           11.767720           11.250478           11.081436           10.332476           10.576140           10.110180            9.805737            9.469588            9.555122            9.135180            9.031069            8.771016            8.804546            0.000000
  265         9.9000000000000004E+000         2.0999353374306368E-001         3.6037946530313554E+000         5.1001844290724572E+000        -1.9723742450511432E+000            0.000133           11.711969           11.196221           11.025690           10.281568           10.524075           10.059843            9.756165            9.420602            9.506109            9.087499            8.983844            8.724185            8.757742            0.000000
  266         9.9000000000000004E+000         2.1169035203492004E-001         3.6041569193982816E+000         5.0974100483955542E+000        -1.9643097963710376E+000            0.000133           11.686975           11.172061           11.000735           10.259269           10.501139           10.037883            9.734634            9.399396            9.484887            9.067043            8.963646            8.704231            8.737798            0.000000
  267         9.9000000000000004E+000         2.2526377188404503E-001         3.6055567490649403E+000         5.0799126524691616E+000        -1.9149053753458489E+000            0.000133           11.544684           11.032996           10.858120           10.127823           10.367007            9.907697            9.606217            9.272254            9.357666            8.942696            8.840244            8.581775            8.615397            0.000000
  268         9.9000000000000004E+000         2.4003414093645259E-001         3.6070755535170629E+000         5.0611328669705111E+000        -1.8614227104143815E+000            0.000133           11.391139           10.882774           10.704078            9.985772           10.222049            9.767013            9.467471            9.134830            9.220139            8.808180            8.706673            8.449324            8.482991            0.000000
  269         9.9000000000000004E+000         2.4168724479442846E-001         3.6072484765254300E+000         5.0590086232986717E+000        -1.8554027699164242E+000            0.000133           11.373862           10.865868           10.686783            9.969789           10.205734            9.751184            9.451864            9.119370            9.204667            8.793043            8.691639            8.434423            8.468095            0.000000
  270         9.9000000000000004E+000         2.4525266136447027E-001         3.6076178790575875E+000         5.0544708153746525E+000        -1.8424769445851015E+000            0.000133           11.336818           10.829599           10.649558            9.935495           10.170732            9.717221            9.418376            9.086196            9.171463            8.760551            8.659361            8.402435            8.436115            0.000000
  271         9.9000000000000004E+000         2.6094111869506575E-001         3.6091223040209002E+000         5.0385990081203973E+000        -1.7943616040136274E+000            0.000133           11.197701           10.693521           10.509783            9.807272           10.039690            9.590343            9.293410            8.962468            9.047615            8.639524            8.539154            8.283487            8.317183            0.000000
  272         9.9000000000000004E+000         2.6282125387163219E-001         3.6093029917509103E+000         5.0366084878566415E+000        -1.7883692024451949E+000            0.000133           11.180483           10.676659           10.492470            9.791357           10.023432            9.574588            9.277887            8.947093            9.032224            8.624463            8.524187            8.268677            8.302373            0.000000
  273         9.9000000000000004E+000         2.6954318642927533E-001         3.6099334333986151E+000         5.0305700603850134E+000        -1.7691640618737146E+000            0.000133           11.124767           10.622161           10.436407            9.740107            9.971008            9.523894            9.227993            8.897707            8.982783            8.576160            8.476200            8.221253            8.254950            0.000000
  274         9.9000000000000004E+000         2.7920805600908449E-001         3.6108373552031177E+000         5.0217730923685471E+000        -1.7414461073711458E+000            0.000133           11.044538           10.543644           10.355675            9.666245            9.895452            9.450824            9.156076            8.826514            8.911508            8.506480            8.406949            8.152838            8.186530            0.000000
  275         9.9000000000000004E+000         2.8055362328280575E-001         3.6109576637918361E+000         5.0205741713739283E+000        -1.7376351129061849E+000            0.000133           11.033566           10.532896           10.344604            9.656117            9.885099            9.440801            9.146208            8.816742            8.901725            8.496906            8.397430            8.143431            8.177123            0.000000
  276         9.9000000000000004E+000         2.9763202164257974E-001         3.6125645389223631E+000         5.0055950977718924E+000        -1.6891829857021887E+000            0.000133           10.893394           10.395659           10.203398            9.527094            9.753061            9.313158            9.020622            8.692433            8.777258            8.375161            8.276380            8.023949            8.057621            0.000000
  277         9.9000000000000004E+000         2.9944860349802671E-001         3.6127272574498352E+000         5.0040451606293432E+000        -1.6841060183217360E+000            0.000133           10.878795           10.381349           10.188656            9.513618            9.739278            9.299819            9.007493            8.679433            8.764241            8.362413            8.263697            8.011430            8.045100            0.000000
  278         9.9000000000000004E+000         2.9972620569392500E-001         3.6127526621697830E+000         5.0038121709942649E+000        -1.6833412876840594E+000            0.000133           10.876584           10.379182           10.186405            9.511582            9.737195            9.297806            9.005512            8.677473            8.762279            8.360493            8.261786            8.009545            8.043215            0.000000
  279         9.9000000000000004E+000         3.0881605194475736E-001         3.6136583944736747E+000         4.9971595868501160E+000        -1.6601258637300877E+000            0.000133           10.808306           10.312442           10.117456            9.449335            9.673285            9.236305            8.945147            8.617811            8.702527            8.302165            8.203793            7.952511            7.986157            0.000000
  280         9.9000000000000004E+000         3.1126611664789983E-001         3.6139067347273341E+000         4.9954148355837935E+000        -1.6539064323193702E+000            0.000133           10.790042           10.294575           10.098946            9.432688            9.656183            9.219854            8.929006            8.601860            8.686551            8.286559            8.188269            7.937261            7.970900            0.000000
  281         9.9000000000000004E+000         3.1162318165216601E-001         3.6139460063796611E+000         4.9951707558399949E+000        -1.6530126521945305E+000            0.000133           10.787377           10.291970           10.096226            9.430279            9.653704            9.217477            8.926677            8.599561            8.684249            8.284315            8.186038            7.935073            7.968711            0.000000
  282         9.9000000000000004E+000         3.1926889374555412E-001         3.6147749033738403E+000         4.9899961359728024E+000        -1.6339796577935439E+000            0.000133           10.730730           10.236656           10.038858            9.379007            9.600927            9.166865            8.877091            8.550611            8.635217            8.236513            8.138505            7.888466            7.922076            0.000000
  283         9.9000000000000004E+000         3.1933044848080810E-001         3.6147816718607673E+000         4.9899549018809131E+000        -1.6338269112088051E+000            0.000133           10.730274           10.236215           10.038417            9.378595            9.600503            9.166459            8.876693            8.550218            8.634823            8.236129            8.138123            7.888091            7.921701            0.000000
  284         9.9000000000000004E+000         3.2745962434961706E-001         3.6157624441405645E+000         4.9847760938978407E+000        -1.6138251585534515E+000            0.000133           10.669559           10.177080            9.976924            9.324202            9.544347            9.112848            8.824293            8.498569            8.583075            8.185826            8.088130            7.839211            7.872783            0.000000
  285         9.9000000000000004E+000         3.2772062525540752E-001         3.6157941366732178E+000         4.9846261577623601E+000        -1.6131996577873802E+000            0.000133           10.667650           10.175213            9.974951            9.322496            9.542583            9.111168            8.822652            8.496952            8.581454            8.184253            8.086566            7.837682            7.871253            0.000000
  286         9.9000000000000004E+000         3.3438777216030552E-001         3.6166287111275452E+000         4.9807722136687893E+000        -1.5972794725343509E+000            0.000133           10.618752           10.127655            9.925417            9.278950            9.497548            9.068288            8.780800            8.455740            8.540154            8.144176            8.046746            7.798820            7.832356            0.000000
  287         9.9000000000000004E+000         3.3441654136975907E-001         3.6166325289836290E+000         4.9807559631201608E+000        -1.5972107585273392E+000            0.000133           10.618539           10.127447            9.925200            9.278761            9.497353            9.068103            8.780619            8.455563            8.539976            8.144003            8.046575            7.798653            7.832188            0.000000
  288         9.9000000000000004E+000         3.3683272158950722E-001         3.6169509316486468E+000         4.9792668415894958E+000        -1.5913198795533106E+000            0.000133           10.600346           10.109770            9.906785            9.262609            9.480631            9.052203            8.765112            8.440300            8.524680            8.129171            8.031839            7.784285            7.817807            0.000000
  289         9.9000000000000004E+000         3.3697072629688768E-001         3.6169692388652317E+000         4.9791967851130705E+000        -1.5909985698203539E+000            0.000133           10.599341           10.108795            9.905768            9.261722            9.479712            9.051331            8.764262            8.439465            8.523843            8.128361            8.031034            7.783501            7.817022            0.000000
  290         9.9000000000000004E+000         3.3887180321916160E-001         3.6172216410623923E+000         4.9781973762560945E+000        -1.5865359799844279E+000            0.000133           10.585439           10.095298            9.891687            9.249428            9.466971            9.039239            8.752481            8.427876            8.512227            8.117114            8.019863            7.772622            7.806132            0.000000
  291         9.9000000000000004E+000         3.4399356038645779E-001         3.6179307446365456E+000         4.9753840554968036E+000        -1.5743735518176905E+000            0.000133           10.547299           10.058322            9.853097            9.215826            9.432117            9.006205            8.720317            8.396256            8.480531            8.086451            7.989414            7.742995            7.776473            0.000000
  292         9.9000000000000004E+000         3.4404062030393434E-001         3.6179374221662006E+000         4.9753601463552650E+000        -1.5742640386654680E+000            0.000133           10.546951           10.057975            9.852711            9.215523            9.431801            9.005906            8.720027            8.395972            8.480245            8.086175            7.989140            7.742729            7.776206            0.000000
  293         9.9000000000000004E+000         3.4896078064996205E-001         3.6186454749202714E+000         4.9727945940355101E+000        -1.5626755233856848E+000            0.000133           10.510257           10.022449            9.815605            9.183349            9.398380            8.974298            8.689287            8.365776            8.449970            8.056933            7.960110            7.714523            7.747966            0.000000
  294         9.9000000000000004E+000         3.4993751014300567E-001         3.6187759719304129E+000         4.9723112328490746E+000        -1.5604727170688428E+000            0.000133           10.503326           10.015733            9.808598            9.177251            9.392049            8.968305            8.683455            8.360044            8.444223            8.051377            7.954593            7.709158            7.742595            0.000000
  295         9.9000000000000004E+000         3.5061668840337218E-001         3.6188741161462121E+000         4.9719670467705930E+000        -1.5588813559078962E+000            0.000133           10.498281           10.010853            9.803511            9.172828            9.387452            8.963961            8.679230            8.355895            8.440063            8.047359            7.950604            7.705284            7.738716            0.000000
  296         9.9000000000000004E+000         3.5483380594569963E-001         3.6195410899495037E+000         4.9695649146863392E+000        -1.5486421570422224E+000            0.000133           10.465371            9.978974            9.769991            9.144206            9.357623            8.935872            8.651960            8.329140            8.413232            8.021501            7.924944            7.680402            7.713801            0.000000
  297         9.9000000000000004E+000         3.5697049398793823E-001         3.6198946105714880E+000         4.9686200199458357E+000        -1.5436693009393643E+000            0.000132           10.449040            9.963183            9.753297            9.130158            9.342925            8.922108            8.638627            8.316078            8.400129            8.008917            7.912467            7.668336            7.701717            0.000000
  298         9.9000000000000004E+000         3.5741289707501028E-001         3.6199575786111153E+000         4.9684748628244293E+000        -1.5427446567363139E+000            0.000132           10.446037            9.960289            9.750269            9.127556            9.340211            8.919557            8.636153            8.313652            8.397696            8.006577            7.910145            7.666089            7.699466            0.000000
  299         9.9000000000000004E+000         3.5785480848046525E-001         3.6200203687650343E+000         4.9682784309587165E+000        -1.5417700163981198E+000            0.000132           10.442913            9.957268            9.747105            9.124834            9.337375            8.916885            8.633557            8.311106            8.395143            8.004114            7.907702            7.663718            7.697093            0.000000
  300         9.9000000000000004E+000         3.6374138407842482E-001         3.6211206128068700E+000         4.9648597536873007E+000        -1.5268415948227743E+000            0.000131           10.393415            9.909564            9.696756            9.082472            9.292948            8.875406            8.593424            8.271822            8.355727            7.966319            7.870240            7.627536            7.660853            0.000000
  301         9.9000000000000004E+000         3.6379217564339805E-001         3.6211310263605827E+000         4.9648234607117123E+000        -1.5267032112909462E+000            0.000131           10.392952            9.909117            9.696279            9.082079            9.292533            8.875022            8.593052            8.271458            8.355362            7.965968            7.869892            7.627200            7.660517            0.000000
  302         9.9000000000000004E+000         3.7194435587427238E-001         3.6229092724531364E+000         4.9584125147703082E+000        -1.5035407616945784E+000            0.000130           10.315283            9.834501            9.617751            9.015933            9.223059            8.810313            8.530517            8.210301            8.293986            7.907252            7.811734            7.571089            7.604313            0.000000
  303         9.9000000000000004E+000         3.8181639137164403E-001         3.6252776271731366E+000         4.9504783330415991E+000        -1.4747554325927379E+000            0.000128           10.217083            9.740347            9.519236            8.932642            9.135748            8.728666            8.452043            8.133667            8.217051            7.833841            7.739102            7.501113            7.534239            0.000000
  304         9.9000000000000004E+000         3.8195889776382008E-001         3.6253140155662646E+000         4.9503575141666349E+000        -1.4743280619591825E+000            0.000128           10.215608            9.738935            9.517763            8.931395            9.134440            8.727448            8.450870            8.132523            8.215901            7.832749            7.738024            7.500074            7.533198            0.000000
  305         9.9000000000000004E+000         3.8506885610207559E-001         3.6260610748891766E+000         4.9477756781374094E+000        -1.4652522669917083E+000            0.000128           10.184600            9.709249            9.486914            8.904968            9.106875            8.701704            8.425947            8.108267            8.191439            7.809578            7.715139            7.478001            7.511086            0.000000
  306         9.9000000000000004E+000         3.8741472186156184E-001         3.6266631706633468E+000         4.9457383136188016E+000        -1.4581604461854061E+000            0.000128           10.160131            9.685858            9.462642            8.884146            9.085189            8.681475            8.406394            8.089161            8.172294            7.791437            7.697241            7.460744            7.493798            0.000000
  307         9.9000000000000004E+000         3.9815764807588383E-001         3.6296135303995190E+000         4.9361569547935087E+000        -1.4248885312455224E+000            0.000128           10.043549            9.574749            9.348024            8.785707            8.982314            8.585616            8.314011            7.999147            8.081797            7.705961            7.613092            7.379612            7.412517            0.000000
