# MIST version number  = 1.0     
# MESA revision number =     7503
# photometric system   = HST/ACS/WFC (Vega)                                              
# --------------------------------------------------------------------------------------
#  Yinit        Zinit   [Fe/H]   [a/Fe]  v/vcrit                                        
# 0.2491  5.28740E-05    -2.45     0.00     0.40
# --------------------------------------------------------------------------------------
# number of isochrones =     8
# CCM89 extinction: Av =  0.000
# --------------------------------------------------------------------------------------
# number of EEPs, cols =   464   21
#   1                               2                               3                               4                               5                               6                   7                   8                   9                  10                  11                  12                  13                  14                  15                  16                  17                  18                  19                  20                  21
# EEP          log10_isochrone_age_yr                    initial_mass                        log_Teff                           log_g                           log_L              Z_surf       ACS_WFC_F435W       ACS_WFC_F475W       ACS_WFC_F502N       ACS_WFC_F550M       ACS_WFC_F555W       ACS_WFC_F606W       ACS_WFC_F625W       ACS_WFC_F658N       ACS_WFC_F660N       ACS_WFC_F775W       ACS_WFC_F814W      ACS_WFC_F850LP       ACS_WFC_F892N               phase
  244         9.9000000000000004E+000         1.0000000000000006E-001         3.5644048448492422E+000         5.3787703858313165E+000        -2.7283626010922042E+000            0.000055           14.040162           13.409683           13.284415           12.317593           12.615177           12.069106           11.733925           11.348045           11.430484           10.957024           10.835631           10.541389           10.575603            0.000000
  245         9.9000000000000004E+000         1.0539550444579056E-001         3.5684446684323960E+000         5.3608778690087338E+000        -2.6753089793854485E+000            0.000055           13.857796           13.238438           13.103132           12.169127           12.458465           11.921456           11.589831           11.215158           11.298395           10.829762           10.710073           10.419133           10.453414            0.000000
  246         9.9000000000000004E+000         1.0547257294854058E-001         3.5685006873918943E+000         5.3606188351312944E+000        -2.6745544510524764E+000            0.000055           13.855232           13.236028           13.100578           12.167031           12.456255           11.919375           11.587802           11.213273           11.296519           10.827950           10.708286           10.417392           10.451674            0.000000
  247         9.9000000000000004E+000         1.0684284510340368E-001         3.5694632490874780E+000         5.3559551778428984E+000        -2.6612147447359500E+000            0.000055           13.810397           13.193827           13.055823           12.130260           12.417492           11.882844           11.552147           11.180055           11.263457           10.795946           10.676724           10.386602           10.420909            0.000000
  248         9.9000000000000004E+000         1.0725591153748511E-001         3.5698267738885598E+000         5.3546892107310979E+000        -2.6570399485460583E+000            0.000055           13.795490           13.179916           13.041084           12.118312           12.404845           11.871040           11.540670           11.169446           11.252902           10.785831           10.666790           10.376983           10.411291            0.000000
  249         9.9000000000000004E+000         1.1694599921540468E-001         3.5768405771523875E+000         5.3219956689226526E+000        -2.5621648379599344E+000            0.000055           13.481313           12.884814           12.724709           11.861134           12.133363           11.616463           11.292413           10.934274           11.018378           10.558074           10.442669           10.158278           10.192800            0.000000
  250         9.9000000000000004E+000         1.2132706070181645E-001         3.5799173950242702E+000         5.3069788164002540E+000        -2.5194116000071634E+000            0.000055           13.341831           12.753813           12.583629           11.746998           12.012914           11.503627           11.182548           10.828283           10.912546           10.455774           10.341846           10.059571           10.094227            0.000000
  251         9.9000000000000004E+000         1.2142422538571214E-001         3.5799875476529412E+000         5.3066490791138117E+000        -2.5184590602006574E+000            0.000055           13.338678           12.750840           12.580395           11.744430           12.010193           11.501088           11.180082           10.825899           10.910164           10.453480           10.339583           10.057358           10.092017            0.000000
  252         9.9000000000000004E+000         1.2845961805195144E-001         3.5852102684326166E+000         5.2830406611837004E+000        -2.4491827194806821E+000            0.000055           13.109468           12.535265           12.348611           11.557606           11.812893           11.316873           11.001251           10.652174           10.736619           10.287084           10.175456            9.896858            9.931738            0.000000
  253         9.9000000000000004E+000         1.2853656757371595E-001         3.5852662123322694E+000         5.2827792547523513E+000        -2.4484265390911455E+000            0.000055           13.106944           12.532879           12.346022           11.555548           11.810713           11.314841           10.999284           10.650256           10.734703           10.285247           10.173641            9.895084            9.929967            0.000000
