# MIST version number  = 1.0     
# MESA revision number =     7503
# photometric system   = HST/ACS/WFC (Vega)                                              
# --------------------------------------------------------------------------------------
#  Yinit        Zinit   [Fe/H]   [a/Fe]  v/vcrit                                        
# 0.2491  7.46811E-05    -2.30     0.00     0.40
# --------------------------------------------------------------------------------------
# number of isochrones =     8
# CCM89 extinction: Av =  0.000
# --------------------------------------------------------------------------------------
# number of EEPs, cols =   464   21
#   1                               2                               3                               4                               5                               6                   7                   8                   9                  10                  11                  12                  13                  14                  15                  16                  17                  18                  19                  20                  21
# EEP          log10_isochrone_age_yr                    initial_mass                        log_Teff                           log_g                           log_L              Z_surf       ACS_WFC_F435W       ACS_WFC_F475W       ACS_WFC_F502N       ACS_WFC_F550M       ACS_WFC_F555W       ACS_WFC_F606W       ACS_WFC_F625W       ACS_WFC_F658N       ACS_WFC_F660N       ACS_WFC_F775W       ACS_WFC_F814W      ACS_WFC_F850LP       ACS_WFC_F892N               phase
  244         9.9000000000000004E+000         1.0000000000000012E-001         3.5569221231221211E+000         5.3689741799397561E+000        -2.7484971903808972E+000            0.000084           14.265381           13.611095           13.539690           12.458342           12.778696           12.206850           11.862251           11.452217           11.531881           11.040183           10.914244           10.609265           10.643049            0.000000
  245         9.9000000000000004E+000         1.0714588269683455E-001         3.5629153437893173E+000         5.3465424869346974E+000        -2.6769263435586703E+000            0.000084           14.009356           13.372749           13.285689           12.250854           12.559907           12.000999           11.660631           11.267036           11.348334           10.865827           10.742619           10.442966           10.476739            0.000000
  246         9.9000000000000004E+000         1.0722304387610306E-001         3.5629766698853835E+000         5.3462933917919147E+000        -2.6761601990388790E+000            0.000084           14.006630           13.370206           13.282990           12.248631           12.557574           11.998801           11.658482           11.265047           11.346362           10.863952           10.740770           10.441175           10.474947            0.000000
  247         9.9000000000000004E+000         1.0816230918091652E-001         3.5636423284281684E+000         5.3431079732180082E+000        -2.6670042569882755E+000            0.000084           13.975031           13.340590           13.251489           12.222620           12.530307           11.973001           11.633219           11.241560           11.323066           10.841658           10.718764           10.419760           10.453545            0.000000
  248         9.9000000000000004E+000         1.0951713507098083E-001         3.5648871626690242E+000         5.3390576374623313E+000        -2.6532031834066165E+000            0.000084           13.923665           13.292898           13.201021           12.181341           12.486878           11.932306           11.593540           11.204972           11.286809           10.807495           10.685179           10.387394           10.421167            0.000000
  249         9.9000000000000004E+000         1.1870905969567282E-001         3.5721061139566075E+000         5.3091500547596455E+000        -2.5620478627703278E+000            0.000084           13.600473           12.990858           12.879469           11.918221           12.210317           11.672519           11.340144           10.967955           11.051371           10.582733           10.463661           10.172965           10.206826            0.000000
  250         9.9000000000000004E+000         1.2165550540796811E-001         3.5741812745873327E+000         5.2990621728686280E+000        -2.5332826187388715E+000            0.000084           13.502314           12.898783           12.780076           11.837968           12.125703           11.593170           11.262715           10.894513           10.978222           10.511934           10.393754           10.105076           10.139012            0.000000
  251         9.9000000000000004E+000         1.2174598840851075E-001         3.5742519624699258E+000         5.2987657922959288E+000        -2.5323848259494102E+000            0.000084           13.499099           12.895781           12.776779           11.835401           12.122972           11.590631           11.260245           10.892181           10.975899           10.509690           10.391542           10.102935           10.136875            0.000000
  252         9.9000000000000004E+000         1.3023327656124448E-001         3.5812678119975230E+000         5.2716782166563219E+000        -2.4473435675824815E+000            0.000084           13.196117           12.613203           12.470210           11.593016           11.866147           11.351803           11.028216           10.670601           10.754979           10.298044           10.183125            9.900930            9.935074            0.000000
  253         9.9000000000000004E+000         1.3031029117819171E-001         3.5813290505385433E+000         5.2714267138962594E+000        -2.4465758830872191E+000            0.000084           13.193337           12.610610           12.467358           11.590815           11.863803           11.349625           11.026107           10.668583           10.752965           10.296116           10.181231            9.899085            9.933231            0.000000
  254         9.9000000000000004E+000         1.3530239765784721E-001         3.5848459651074371E+000         5.2541623944412450E+000        -2.3976628804326201E+000            0.000084           13.025330           12.452721           12.296767           11.454043           11.719524           11.214645           10.894831           10.541619           10.626217           10.174482           10.061221            9.782006            9.816303            0.000000
  255         9.9000000000000004E+000         1.3539282353679050E-001         3.5849166617829367E+000         5.2538631673297536E+000        -2.3967624081251899E+000            0.000084           13.022153           12.449741           12.293550           11.451479           11.716815           11.212122           10.892383           10.539249           10.623852           10.172227           10.058996            9.779843            9.814143            0.000000
  256         9.9000000000000004E+000         1.4186719134337192E-001         3.5905205191216454E+000         5.2334838133794142E+000        -2.3311664522904034E+000            0.000084           12.784094           12.227024           12.053660           11.262568           11.515190           11.025538           10.712905           10.364895           10.449787           10.006932            9.896128            9.622248            9.656482            0.000000
  257         9.9000000000000004E+000         1.4194403339973560E-001         3.5905816536010637E+000         5.2332297706562372E+000        -2.3303972526088792E+000            0.000084           12.781364           12.224459           12.050911           11.260404           11.512855           11.023415           10.710792           10.362844           10.447738           10.004980            9.894203            9.620380            9.654615            0.000000
  258         9.9000000000000004E+000         1.4939960381638112E-001         3.5953803162826450E+000         5.2092176557793488E+000        -2.2621256006353434E+000            0.000084           12.548142           12.003150           11.815412           11.066249           11.310976           10.834229           10.525183           10.182164           10.267204            9.831958            9.723283            9.454046            9.488385            0.000000
  259         9.9000000000000004E+000         1.5738794711000531E-001         3.5986553651263953E+000         5.1932704930170930E+000        -2.2113113860391964E+000            0.000084           12.380711           11.842476           11.645526           10.921991           11.162877           10.692527           10.387231           10.047609           10.132654            9.702619            9.595418            9.329398            9.363859            0.000000
  260         9.9000000000000004E+000         1.5754231063513766E-001         3.5986998334614846E+000         5.1930053559902971E+000        -2.2104826604424304E+000            0.000084           12.378088           11.839954           11.642795           10.919729           11.160491           10.690289           10.385060           10.045494           10.130534            9.700564            9.593383            9.327397            9.361865            0.000000
  261         9.9000000000000004E+000         1.7461850035113222E-001         3.6036898055815239E+000         5.1628840792578359E+000        -2.1177324704804827E+000            0.000084           12.082762           11.557427           11.347598           10.661125           10.892879           10.435824           10.136397            9.802366            9.887383            9.465090            9.360128            9.099230            9.133770            0.000000
  262         9.9000000000000004E+000         1.7479806084229790E-001         3.6037394875562123E+000         5.1625646971784827E+000        -2.1167656848404994E+000            0.000084           12.079710           11.554498           11.344530           10.658463           10.890111           10.433200           10.133841            9.799860            9.884874            9.462656            9.357715            9.096865            9.131406            0.000000
  263         9.9000000000000004E+000         1.8553175418546097E-001         3.6067691410600675E+000         5.1431543998944171E+000        -2.0584160349292349E+000            0.000084           11.895163           11.377232           11.161497           10.495826           10.722317           10.273233            9.977490            9.646252            9.731122            9.313993            9.210400            8.952693            8.987162            0.000000
  264         9.9000000000000004E+000         1.9339717497519421E-001         3.6083159229571988E+000         5.1303359417220067E+000        -2.0214280583211166E+000            0.000084           11.783113           11.268641           11.050166           10.394832           10.618683           10.173606            9.879729            9.549762            9.634513            9.220092            9.117166            8.861053            8.895471            0.000000
