# MIST version number  = 1.0     
# MESA revision number =     7503
# photometric system   = HST/ACS/WFC (Vega)                                              
# --------------------------------------------------------------------------------------
#  Yinit        Zinit   [Fe/H]   [a/Fe]  v/vcrit                                        
# 0.2492  1.18344E-04    -2.10     0.00     0.40
# --------------------------------------------------------------------------------------
# number of isochrones =     8
# CCM89 extinction: Av =  0.000
# --------------------------------------------------------------------------------------
# number of EEPs, cols =   464   21
#   1                               2                               3                               4                               5                               6                   7                   8                   9                  10                  11                  12                  13                  14                  15                  16                  17                  18                  19                  20                  21
# EEP          log10_isochrone_age_yr                    initial_mass                        log_Teff                           log_g                           log_L              Z_surf       ACS_WFC_F435W       ACS_WFC_F475W       ACS_WFC_F502N       ACS_WFC_F550M       ACS_WFC_F555W       ACS_WFC_F606W       ACS_WFC_F625W       ACS_WFC_F658N       ACS_WFC_F660N       ACS_WFC_F775W       ACS_WFC_F814W      ACS_WFC_F850LP       ACS_WFC_F892N               phase
  244         9.9000000000000004E+000         1.0000000000000020E-001         3.5469451608192935E+000         5.3559125720843452E+000        -2.7753433094324889E+000            0.000123           14.506283           13.821333           13.800402           12.613020           12.954996           12.352576           12.001307           11.570501           11.648691           11.138838           11.004942           10.686392           10.720345            0.000000
  245         9.9000000000000004E+000         1.0947972036489317E-001         3.5555429109318801E+000         5.3274286441693173E+000        -2.6790828291229660E+000            0.000123           14.172367           13.511964           13.463738           12.341241           12.666685           12.082795           11.735120           11.329165           11.408901           10.907023           10.777902           10.466109           10.499970            0.000000
  246         9.9000000000000004E+000         1.0955700511285300E-001         3.5556113132100369E+000         5.3271928006727416E+000        -2.6783011963540830E+000            0.000123           14.169597           13.509394           13.460979           12.338982           12.664309           12.080566           11.732926           11.327131           11.406881           10.905097           10.776017           10.464288           10.498148            0.000000
  247         9.9000000000000004E+000         1.0992159461760029E-001         3.5558811008824218E+000         5.3259783670514871E+000        -2.6747236066580422E+000            0.000123           14.157537           13.498131           13.448894           12.328993           12.653824           12.070657           11.723159           11.318024           11.397839           10.896385           10.767465           10.455966           10.489826            0.000000
  248         9.9000000000000004E+000         1.1253209978230846E-001         3.5583010143763087E+000         5.3182155397706454E+000        -2.6480874965540266E+000            0.000123           14.062386           13.410086           13.355645           12.251338           12.572532           11.994372           11.648166           11.248294           11.328437           10.830749           10.703465           10.394125           10.427907            0.000000
  249         9.9000000000000004E+000         1.2105980700269701E-001         3.5657934963622346E+000         5.2920225692089700E+000        -2.5618918958508523E+000            0.000123           13.754656           13.123707           13.054903           11.997969           12.308802           11.746754           11.405535           11.018292           11.100194           10.615390           10.492564           10.191280           10.224850            0.000000
  250         9.9000000000000004E+000         1.2209343168283697E-001         3.5665331140047489E+000         5.2885066481597924E+000        -2.5517773103811487E+000            0.000123           13.719694           13.091038           13.020366           11.968977           12.278677           11.718335           11.377683           10.991530           11.073605           10.590077           10.467621           10.167186           10.200754            0.000000
  251         9.9000000000000004E+000         1.2217500577224219E-001         3.5666045155592387E+000         5.2882547432054174E+000        -2.5509525136144129E+000            0.000123           13.716693           13.088254           13.017439           11.966526           12.276129           11.715950           11.375351           10.989293           11.071383           10.587987           10.465567           10.165218           10.198785            0.000000
  252         9.9000000000000004E+000         1.3259815457363527E-001         3.5760112034173983E+000         5.2565282906198183E+000        -2.4448913650515474E+000            0.000123           13.319984           12.720551           12.625656           11.647288           11.941528           11.404226           11.071529           10.699514           10.783142           10.316059           10.196989            9.908352            9.941730            0.000000
  253         9.9000000000000004E+000         1.3267525598415936E-001         3.5760795014802409E+000         5.2562899927548035E+000        -2.4441083417486502E+000            0.000123           13.316952           12.717731           12.622570           11.644891           11.938983           11.401873           11.069245           10.697351           10.780987           10.314018           10.194965            9.906418            9.939797            0.000000
