# MIST version number  = 1.0     
# MESA revision number =     7503
# photometric system   = HST/ACS/WFC (Vega)                                              
# --------------------------------------------------------------------------------------
#  Yinit        Zinit   [Fe/H]   [a/Fe]  v/vcrit                                        
# 0.2491  4.71249E-05    -2.50     0.00     0.40
# --------------------------------------------------------------------------------------
# number of isochrones =     8
# CCM89 extinction: Av =  0.000
# --------------------------------------------------------------------------------------
# number of EEPs, cols =   464   21
#   1                               2                               3                               4                               5                               6                   7                   8                   9                  10                  11                  12                  13                  14                  15                  16                  17                  18                  19                  20                  21
# EEP          log10_isochrone_age_yr                    initial_mass                        log_Teff                           log_g                           log_L              Z_surf       ACS_WFC_F435W       ACS_WFC_F475W       ACS_WFC_F502N       ACS_WFC_F550M       ACS_WFC_F555W       ACS_WFC_F606W       ACS_WFC_F625W       ACS_WFC_F658N       ACS_WFC_F660N       ACS_WFC_F775W       ACS_WFC_F814W      ACS_WFC_F850LP       ACS_WFC_F892N               phase
  244         9.9000000000000004E+000         1.0000000000000005E-001         3.5668990854249492E+000         5.3820357877951697E+000        -2.7216510713293065E+000            0.000045           13.975095           13.349025           13.206466           12.276034           12.566290           12.027814           11.696180           11.318994           11.402230           10.933072           10.813324           10.521631           10.556005            0.000000
  245         9.9000000000000004E+000         1.0481204502877592E-001         3.5702877766467549E+000         5.3656563297000783E+000        -2.6747698579943746E+000            0.000045           13.821260           13.204069           13.053568           12.149519           12.433011           11.902347           11.573635           11.204001           11.287588           10.821728           10.703443           10.414527           10.448958            0.000000
  246         9.9000000000000004E+000         1.0488908263935308E-001         3.5703420265607306E+000         5.3653939829110877E+000        -2.6740192017236755E+000            0.000045           13.818810           13.201777           13.051186           12.147503           12.430897           11.900354           11.571686           11.202163           11.285754           10.819950           10.701688           10.412817           10.447248            0.000000
  247         9.9000000000000004E+000         1.0640302374423274E-001         3.5714035559739146E+000         5.3602375793845285E+000        -2.6592849073185083E+000            0.000045           13.770591           13.156383           13.003090           12.107854           12.389109           11.861074           11.533341           11.165945           11.249614           10.784852           10.667056           10.379047           10.413502            0.000000
  248         9.9000000000000004E+000         1.0650217035965320E-001         3.5714733109617387E+000         5.3598997351540190E+000        -2.6583188702592055E+000            0.000045           13.767441           13.153433           13.000004           12.105264           12.386388           11.858513           11.530837           11.163576           11.247250           10.782559           10.664794           10.376842           10.411297            0.000000
  249         9.9000000000000004E+000         1.1635831238864862E-001         3.5784187315509808E+000         5.3262775403103211E+000        -2.5622038296898029E+000            0.000045           13.454835           12.859989           12.685959           11.848692           12.115816           11.604608           11.283146           10.926670           11.010648           10.553006           10.438229           10.155625           10.190293            0.000000
  250         9.9000000000000004E+000         1.2121757913309923E-001         3.5818294351699160E+000         5.3096176975774627E+000        -2.5147879270965947E+000            0.000045           13.299467           12.713975           12.529403           11.721509           11.981648           11.478930           11.160859           10.808394           10.892537           10.438972           10.325581           10.045556           10.080362            0.000000
  251         9.9000000000000004E+000         1.2131697104477929E-001         3.5818994093806129E+000         5.3092768413864393E+000        -2.5138171382844070E+000            0.000045           13.296274           12.710973           12.526188           11.718895           11.978892           11.476349           11.158349           10.805961           10.890107           10.436630           10.323266           10.043295           10.078104            0.000000
  252         9.9000000000000004E+000         1.2786839854885371E-001         3.5865244205776481E+000         5.2868281426928263E+000        -2.4497957701134156E+000            0.000045           13.084871           12.512023           12.313543           11.545752           11.796353           11.305536           10.992421           10.644665           10.729025           10.281626           10.170105            9.893703            9.928696            0.000000
  253         9.9000000000000004E+000         1.2794532637222403E-001         3.5865785995968453E+000         5.2865634350377162E+000        -2.4490434244257879E+000            0.000045           13.082413           12.509715           12.311110           11.543730           11.794231           11.303547           10.990486           10.642780           10.727142           10.279819           10.168325            9.891958            9.926953            0.000000
  254         9.9000000000000004E+000         1.3621413683322886E-001         3.5923922970226294E+000         5.2579438528194196E+000        -2.3680482468894781E+000            0.000045           12.813970           12.256377           12.042082           11.322559           11.561457           11.085709           10.779138           10.436505           10.521044           10.081894            9.972594            9.701061            9.736232            0.000000
  255         9.9000000000000004E+000         1.3631354233908241E-001         3.5924623561771374E+000         5.2575992448776807E+000        -2.3670733199020906E+000            0.000045           12.810730           12.253316           12.038847           11.319881           11.558640           11.083075           10.776577           10.434005           10.518544           10.079495            9.970222            9.698750            9.733922            0.000000
  256         9.9000000000000004E+000         1.3949016330490666E-001         3.5947099800850424E+000         5.2466444304191731E+000        -2.3359407159290519E+000            0.000045           12.707074           12.155321           11.935481           11.233876           11.468405           10.998652           10.694568           10.353900           10.438460           10.002676            9.894259            9.624776            9.659992            0.000000
  257         9.9000000000000004E+000         1.3956693098205919E-001         3.5947640592564305E+000         5.2463773167597818E+000        -2.3351869284085014E+000            0.000045           12.704663           12.153051           11.933133           11.231865           11.466307           10.996681           10.692649           10.352020           10.436581           10.000879            9.892487            9.623040            9.658257            0.000000
  258         9.9000000000000004E+000         1.5194164178098543E-001         3.6027140768042547E+000         5.2065132396706471E+000        -2.2219284248810083E+000            0.000045           12.330024           11.797543           11.562478           10.915958           11.136866           10.686822           10.391294           10.057367           10.141784            9.717935            9.612615            9.350945            9.386052            0.000000
  259         9.9000000000000004E+000         1.5209155768060273E-001         3.6027603034548417E+000         5.2062565895713533E+000        -2.2211122666434751E+000            0.000045           12.327398           11.795026           11.559875           10.913671           11.134497           10.684572           10.389099           10.055215           10.139628            9.715851            9.610550            9.348928            9.384036            0.000000
  260         9.9000000000000004E+000         1.5224115387432910E-001         3.6028064270160312E+000         5.2060004030722089E+000        -2.2202977832310342E+000            0.000045           12.324833           11.792569           11.557346           10.911429           11.132181           10.682369           10.386944           10.053101           10.137511            9.713803            9.608520            9.346946            9.382052            0.000000
  261         9.9000000000000004E+000         1.7288652733507187E-001         3.6091231677724607E+000         5.1697754965664497E+000        -2.1072184427267446E+000            0.000045           11.968766           11.450874           11.207756           10.597979           10.809344           10.374482           10.085658            9.756941            9.840837            9.427244            9.324408            9.069723            9.104551            0.000000
  262         9.9000000000000004E+000         1.7301195195757094E-001         3.6091612023918516E+000         5.1695501200373899E+000        -2.1065275241681185E+000            0.000045           11.966638           11.448830           11.205687           10.596083           10.807405           10.372624           10.083834            9.755144            9.839038            9.425506            9.322682            9.068042            9.102866            0.000000
  263         9.9000000000000004E+000         1.8385914063748021E-001         3.6123833847867690E+000         5.1495004798833568E+000        -2.0464848329982708E+000            0.000045           11.778755           11.267989           11.022148           10.428843           10.635741           10.208257            9.922865            9.596537            9.680068            9.272015            9.170416            8.919559            8.954152            0.000000
  264         9.9000000000000004E+000         1.8402624906634291E-001         3.6124334843916102E+000         5.1491950390950985E+000        -2.0455614335418071E+000            0.000045           11.775822           11.265163           11.019278           10.426237           10.633058           10.205690            9.920358            9.594066            9.677589            9.269625            9.168047            8.917249            8.951839            0.000000
  265         9.9000000000000004E+000         1.9014793245227476E-001         3.6142991416069492E+000         5.1381497849302749E+000        -2.0117570928067225E+000            0.000045           11.669272           11.162698           10.915701           10.331330           10.535732           10.112457            9.829083            9.504110            9.587405            9.182697            9.081843            8.833288            8.867724            0.000000
  266         9.9000000000000004E+000         2.0519129745121317E-001         3.6177235385717239E+000         5.1128802721778657E+000        -1.9381106121936191E+000            0.000045           11.444684           10.945626           10.696897           10.128021           10.327931            9.912152            9.632415            9.309832            9.392669            8.993964            8.894371            8.649959            8.684142            0.000000
  267         9.9000000000000004E+000         2.0823850919376630E-001         3.6180417807194583E+000         5.1090041891989806E+000        -1.9270555072459117E+000            0.000045           11.413306           10.914949           10.666002           10.098687           10.298140            9.883079            9.603694            9.281335            9.364125            8.965959            8.866478            8.622435            8.656610            0.000000
  268         9.9000000000000004E+000         2.0842170934771570E-001         3.6180609623731876E+000         5.1087691687092889E+000        -1.9263886856477344E+000            0.000045           11.411437           10.913124           10.664177           10.096932           10.296365            9.881344            9.601975            9.279630            9.362418            8.964285            8.864810            8.620789            8.654962            0.000000
  269         9.9000000000000004E+000         2.2315158566779347E-001         3.6196048309748958E+000         5.0898154933821420E+000        -1.8727104633490044E+000            0.000045           11.259007           10.764099           10.514233            9.954353           10.151597            9.740024            9.462366            9.141108            9.223666            8.828115            8.729258            8.487004            8.521096            0.000000
  270         9.9000000000000004E+000         2.3666781705880663E-001         3.6210163946839509E+000         5.0728487898432144E+000        -1.8239006139372753E+000            0.000045           11.120274           10.628490           10.378034            9.824455           10.019825            9.611322            9.335207            9.014940            9.097289            8.704138            8.605896            8.365201            8.399206            0.000000
  271         9.9000000000000004E+000         2.4148994464325313E-001         3.6215218053875362E+000         5.0667052459847541E+000        -1.8063893195553586E+000            0.000045           11.070494           10.579833           10.329201            9.777812            9.972536            9.565122            9.289540            8.969646            9.051908            8.659634            8.561626            8.321470            8.355446            0.000000
  272         9.9000000000000004E+000         2.5929317995590784E-001         3.6232352056215360E+000         5.0477174140378294E+000        -1.7493372039013524E+000            0.000045           10.907432           10.420597           10.169577            9.625253            9.817877            9.414071            9.140254            8.821634            8.903563            8.514394            8.417251            8.178833            8.212719            0.000000
  273         9.9000000000000004E+000         2.5940583085174146E-001         3.6232452149581715E+000         5.0476158892042235E+000        -1.7490172477339272E+000            0.000045           10.906533           10.419724           10.168715            9.624405            9.817025            9.413236            9.139426            8.820812            8.902741            8.513592            8.416452            8.178044            8.211929            0.000000
  274         9.9000000000000004E+000         2.6491257666419021E-001         3.6237350482375623E+000         5.0427882356734601E+000        -1.7335097032236311E+000            0.000045           10.861958           10.376249           10.125214            9.582775            9.774833            9.372044            9.098732            8.780461            8.862320            8.474076            8.377201            8.139252            8.173120            0.000000
  275         9.9000000000000004E+000         2.7729059100477527E-001         3.6248368935692898E+000         5.0317608151008013E+000        -1.6984730994236952E+000            0.000045           10.761252           10.278027           10.026917            9.488732            9.679505            9.278976            9.006795            8.689300            8.770993            8.384783            8.288568            8.051567            8.085396            0.000000
  276         9.9000000000000004E+000         2.7741192912743889E-001         3.6248477089248867E+000         5.0316550928635930E+000        -1.6981319639874335E+000            0.000045           10.760271           10.277070           10.025961            9.487816            9.678577            9.278070            9.005899            8.688412            8.770103            8.383913            8.287704            8.050713            8.084541            0.000000
  277         9.9000000000000004E+000         2.9444816791745759E-001         3.6263682507580137E+000         5.0171245608346551E+000        -1.6505404794996390E+000            0.000045           10.623310           10.143560            9.892485            9.359967            9.549032            9.151645            8.880962            8.564569            8.646013            8.262709            8.167545            7.931664            7.965453            0.000000
  278         9.9000000000000004E+000         2.9662964818842652E-001         3.6265631873646740E+000         5.0152348811876752E+000        -1.6444164709984996E+000            0.000045           10.605663           10.126353            9.875254            9.343514            9.532345            9.135367            8.864882            8.548626            8.630040            8.247111            8.152089            7.916333            7.950122            0.000000
  279         9.9000000000000004E+000         2.9675883082464094E-001         3.6265747347978685E+000         5.0151265932819706E+000        -1.6440574179371383E+000            0.000045           10.604628           10.125345            9.874246            9.342549            9.531366            9.134413            8.863939            8.547691            8.629104            8.246198            8.151184            7.915436            7.949224            0.000000
  280         9.9000000000000004E+000         3.0813060240499435E-001         3.6276097382016399E+000         5.0066414867028000E+000        -1.6147213633695312E+000            0.000045           10.519147           10.042226            9.791236            9.263243            9.450925            9.056077            8.786616            8.471093            8.552361            8.171474            8.077254            7.842093            7.875878            0.000000
  281         9.9000000000000004E+000         3.0819438214935646E-001         3.6276155833339030E+000         5.0065963521485317E+000        -1.6145620238054594E+000            0.000045           10.518679           10.041771            9.790782            9.262810            9.450485            9.055650            8.786195            8.470676            8.551944            8.171067            8.076853            7.841694            7.875480            0.000000
  282         9.9000000000000004E+000         3.2173456532674355E-001         3.6289594916229855E+000         4.9976406929159811E+000        -1.5815533322130044E+000            0.000045           10.420572            9.946726            9.695966            9.172649            9.358888            8.966768            8.698628            8.384066            8.465137            8.086914            7.993824            7.759263            7.793061            0.000000
  283         9.9000000000000004E+000         3.2183692356586679E-001         3.6289705236926464E+000         4.9975771847436459E+000        -1.5813089067180932E+000            0.000045           10.419815            9.945992            9.695219            9.171968            9.358188            8.966096            8.697969            8.383416            8.464483            8.086283            7.993202            7.758645            7.792445            0.000000
  284         9.9000000000000004E+000         3.2193917235396952E-001         3.6289815442425506E+000         4.9975137341652189E+000        -1.5810647311553885E+000            0.000045           10.419116            9.945321            9.694582            9.171309            9.357533            8.965453            8.697331            8.382784            8.463853            8.085674            7.992603            7.758052            7.791851            0.000000
  285         9.9000000000000004E+000         3.2212897275066260E-001         3.6290020585506113E+000         4.9973988013010651E+000        -1.5806140966464879E+000            0.000045           10.417737            9.943987            9.693237            9.170061            9.356256            8.964223            8.696124            8.381592            8.462656            8.084517            7.991464            7.756921            7.790720            0.000000
  286         9.9000000000000004E+000         3.4178428575292663E-001         3.6312409418298182E+000         4.9859802232344421E+000        -1.5345103950343861E+000            0.000045           10.277187            9.808476            9.558243            9.042547            9.226405            8.838861            8.572947            8.260018            8.340757            7.966814            7.875536            7.642245            7.676024            0.000000
  287         9.9000000000000004E+000         3.4181247212976751E-001         3.6312444821889014E+000         4.9859660542948019E+000        -1.5344465823926006E+000            0.000045           10.276970            9.808267            9.558018            9.042365            9.226211            8.838678            8.572770            8.259845            8.340582            7.966645            7.875370            7.642079            7.675859            0.000000
  288         9.9000000000000004E+000         3.4300036701805381E-001         3.6313909873571006E+000         4.9852754532720551E+000        -1.5316744778018616E+000            0.000045           10.268400            9.800026            9.549806            9.034653            9.218341            8.831104            8.565341            8.252522            8.333237            7.959563            7.868397            7.635202            7.668979            0.000000
  289         9.9000000000000004E+000         3.4323772733604963E-001         3.6314206055580369E+000         4.9851660142011411E+000        -1.5311477543025558E+000            0.000045           10.266752            9.798445            9.548230            9.033178            9.216834            8.829658            8.563923            8.251125            8.331836            7.958215            7.867071            7.633896            7.667672            0.000000
