# MIST version number  = 1.0     
# MESA revision number =     7503
# photometric system   = HST/ACS/WFC (Vega)                                              
# --------------------------------------------------------------------------------------
#  Yinit        Zinit   [Fe/H]   [a/Fe]  v/vcrit                                        
# 0.2491  9.40119E-05    -2.20     0.00     0.40
# --------------------------------------------------------------------------------------
# number of isochrones =     8
# CCM89 extinction: Av =  0.000
# --------------------------------------------------------------------------------------
# number of EEPs, cols =   464   21
#   1                               2                               3                               4                               5                               6                   7                   8                   9                  10                  11                  12                  13                  14                  15                  16                  17                  18                  19                  20                  21
# EEP          log10_isochrone_age_yr                    initial_mass                        log_Teff                           log_g                           log_L              Z_surf       ACS_WFC_F435W       ACS_WFC_F475W       ACS_WFC_F502N       ACS_WFC_F550M       ACS_WFC_F555W       ACS_WFC_F606W       ACS_WFC_F625W       ACS_WFC_F658N       ACS_WFC_F660N       ACS_WFC_F775W       ACS_WFC_F814W      ACS_WFC_F850LP       ACS_WFC_F892N               phase
  244         9.9000000000000004E+000         1.0000000000000016E-001         3.5519336419707077E+000         5.3624433760120507E+000        -2.7619202499066930E+000            0.000104           14.394970           13.724124           13.681413           12.540213           12.872165           12.283745           11.935209           11.516748           11.595340           11.093070           10.963015           10.650515           10.684294            0.000000
  245         9.9000000000000004E+000         1.0831280153086385E-001         3.5592291273605987E+000         5.3369855655520091E+000        -2.6780045863408182E+000            0.000104           14.101735           13.451927           13.389420           12.301135           12.620225           12.047376           11.702639           11.302187           11.382187           10.889663           10.763897           10.457522           10.491181            0.000000
  246         9.9000000000000004E+000         1.0839002449447802E-001         3.5592939915477100E+000         5.3367430962323290E+000        -2.6772306976964808E+000            0.000104           14.099088           13.449434           13.386802           12.298927           12.617919           12.045199           11.700500           11.300203           11.380219           10.887794           10.762064           10.455746           10.489403            0.000000
  247         9.9000000000000004E+000         1.0904195189925840E-001         3.5597617146552945E+000         5.3345431701347463E+000        -2.6708639318231584E+000            0.000104           14.077745           13.429240           13.365292           12.281057           12.599208           12.027494           11.683095           11.283960           11.364110           10.872351           10.746879           10.440973           10.474630            0.000000
  248         9.9000000000000004E+000         1.1102461742664464E-001         3.5615940885226665E+000         5.3286365886164893E+000        -2.6506453399803220E+000            0.000104           14.005138           13.361306           13.294418           12.221358           12.536714           11.968884           11.625687           11.230614           11.311251           10.822518           10.698099           10.393993           10.427600            0.000000
  249         9.9000000000000004E+000         1.1988443334918493E-001         3.5689498051594208E+000         5.3005863119843086E+000        -2.5619698793105901E+000            0.000104           13.689487           13.067620           12.984258           11.962691           12.266921           11.715600           11.378183           10.996006           11.078486           10.602209           10.481423           10.185225           10.218759            0.000000
  250         9.9000000000000004E+000         1.2187446854540256E-001         3.5703571942960401E+000         5.2937844105142098E+000        -2.5425299645600106E+000            0.000104           13.622067           13.004514           12.916928           11.907213           12.208915           11.661029           11.324849           10.945093           11.027868           10.553812           10.433555           10.138948           10.172509            0.000000
  251         9.9000000000000004E+000         1.2196049709037647E-001         3.5704282390145821E+000         5.2935102677506718E+000        -2.5416686697819113E+000            0.000104           13.618953           13.001615           12.913837           11.904687           12.206268           11.658555           11.322436           10.942797           11.025586           10.551646           10.431416           10.136892           10.170453            0.000000
  252         9.9000000000000004E+000         1.3141571556743989E-001         3.5786395077074609E+000         5.2641032536380701E+000        -2.4461174663170144E+000            0.000104           13.263618           12.671614           12.557337           11.621186           11.906763           11.380180           11.051675           10.685701           10.769606           10.308088           10.190397            9.905525            9.939204            0.000000
  253         9.9000000000000004E+000         1.3149277358117556E-001         3.5787042760093919E+000         5.2638583533255314E+000        -2.4453421124179346E+000            0.000104           13.260698           12.668900           12.554387           11.618869           11.904308           11.377900           11.049460           10.683590           10.767502           10.306081           10.188415            9.903616            9.937297            0.000000
  254         9.9000000000000004E+000         1.3484652807015635E-001         3.5810727991498417E+000         5.2522716652521586E+000        -2.4124701972041911E+000            0.000104           13.142042           12.558400           12.434801           11.523702           11.803649           11.283301           10.957352           10.595418           10.679718           10.221514           10.104849            9.822573            9.856335            0.000000
  255         9.9000000000000004E+000         1.3493246413564455E-001         3.5811438145858365E+000         5.2519951285557918E+000        -2.4116069522367392E+000            0.000104           13.138775           12.555403           12.431558           11.521133           11.800935           11.280746           10.954871           10.593070           10.677377           10.219258           10.102648            9.820427            9.854191            0.000000
  256         9.9000000000000004E+000         1.4305570536260456E-001         3.5884257886399471E+000         5.2269035048595329E+000        -2.3287793204710785E+000            0.000104           12.821269           12.260372           12.113100           11.270279           11.534804           11.033972           10.716318           10.364924           10.449915           10.002887            9.889837            9.615587            9.649114            0.000000
  257         9.9000000000000004E+000         1.4313258460857381E-001         3.5884904507733801E+000         5.2266559976044649E+000        -2.3280024147090677E+000            0.000104           12.818327           12.257620           12.110118           11.268019           11.532318           11.031668           10.714174           10.362768           10.447763           10.000841            9.887826            9.613644            9.647171            0.000000
  258         9.9000000000000004E+000         1.4812858483407898E-001         3.5917134360218408E+000         5.2105698638337001E+000        -2.2822241885125107E+000            0.000104           12.655098           12.103929           11.946071           11.135612           11.391578           10.902736           10.586411           10.237858           10.323072            9.881381            9.770056            9.499275            9.532840            0.000000
  259         9.9000000000000004E+000         1.6003614182470652E-001         3.5966028959621719E+000         5.1867774447399624E+000        -2.2064109457370571E+000            0.000104           12.396860           11.856043           11.684439           10.914761           11.166416           10.685862           10.374935           10.032121           10.117484            9.684313            9.575764            9.309797            9.343493            0.000000
  260         9.9000000000000004E+000         1.6019288901554193E-001         3.5966465366842115E+000         5.1865078324493412E+000        -2.2055750990481284E+000            0.000104           12.394194           11.853487           11.681717           10.912397           11.164020           10.683535           10.372658           10.029895           10.115258            9.682165            9.573641            9.307714            9.341413            0.000000
  261         9.9000000000000004E+000         1.7548448685916238E-001         3.6009731244860550E+000         5.1594383706035307E+000        -2.1229894843573507E+000            0.000104           12.130108           11.600940           11.415060           10.679327           10.924105           10.454124           10.148249            9.810402            9.895796            9.470606            9.364703            9.102575            9.136380            0.000000
  262         9.9000000000000004E+000         1.7569111528466136E-001         3.6010286301383925E+000         5.1590719857490299E+000        -2.1218847651766892E+000            0.000104           12.126577           11.597593           11.411589           10.676220           10.920908           10.451069           10.145258            9.807467            9.892859            9.467778            9.361912            9.099830            9.133635            0.000000
  263         9.9000000000000004E+000         1.8636806095945133E-001         3.6039620191967177E+000         5.1399813598999460E+000        -2.0643816358947169E+000            0.000104           11.943289           11.422802           11.229588           10.515272           10.754752           10.292727            9.990472            9.655565            9.740885            9.321501            9.217542            8.957716            8.991584            0.000000
  264         9.9000000000000004E+000         1.9808263792961986E-001         3.6062571422399934E+000         5.1209063930354608E+000        -2.0093613707107720E+000            0.000104           11.775759           11.261031           11.062655           10.364924           10.600226           10.144402            9.845010            9.512170            9.597368            9.182333            9.079713            8.821758            8.855650            0.000000
  265         9.9000000000000004E+000         2.0337833331280072E-001         3.6072961492232198E+000         5.1128395476917294E+000        -1.9855018609696695E+000            0.000104           11.702868           11.190464           10.990008           10.299591           10.533031           10.079989            9.781878            9.449917            9.535047            9.121944            9.019884            8.762834            8.796723            0.000000
