# MIST version number  = 1.0     
# MESA revision number =     7503
# photometric system   = UBV(RI)c, 2MASS, Kepler, Hipparcos, Gaia (Vega)                 
# --------------------------------------------------------------------------------------
#  Yinit        Zinit   [Fe/H]   [a/Fe]  v/vcrit                                        
# 0.2491  5.93243E-05    -2.40     0.00     0.40
# --------------------------------------------------------------------------------------
# number of isochrones =     8
# CCM89 extinction: Av =  0.000
# --------------------------------------------------------------------------------------
# number of EEPs, cols =   464   22
#   1                               2                               3                               4                               5                               6                   7                   8                   9                  10                  11                  12                  13                  14                  15                  16                  17                  18                  19                  20                  21                  22
# EEP          log10_isochrone_age_yr                    initial_mass                        log_Teff                           log_g                           log_L              Z_surf           Bessell_U           Bessell_B           Bessell_V           Bessell_R           Bessell_I             2MASS_J             2MASS_H            2MASS_Ks           Kepler_Kp          Kepler_D51        Hipparcos_Hp             Tycho_B             Tycho_V              Gaia_G               phase
  244         9.9000000000000004E+000         1.0000000000000009E-001         3.5619106042735353E+000         5.3755049838674633E+000        -2.7350741308551019E+000            0.000065           15.486097           14.083137           12.560381           11.648503           10.865394            9.839448            9.162863            8.953945           11.870308           13.310122           12.633075           14.529434           12.746931           11.917768            0.000000
  245         9.9000000000000004E+000         1.0597896386280524E-001         3.5666015602180363E+000         5.3560994083173883E+000        -2.6758481007765225E+000            0.000065           15.192867           13.871545           12.381761           11.488285           10.723468            9.711076            9.043111            8.836979           11.712659           13.100353           12.457664           14.297802           12.565067           11.761520            0.000000
  246         9.9000000000000004E+000         1.0605606325772805E-001         3.5666593482230575E+000         5.3558436873515012E+000        -2.6750897003812772E+000            0.000065           15.189157           13.868759           12.379419           11.486200           10.721613            9.709403            9.041564            8.835464           11.710596           13.097526           12.455369           14.294767           12.562675           11.759475            0.000000
  247         9.9000000000000004E+000         1.0728266646257463E-001         3.5675229422010415E+000         5.3516727763012684E+000        -2.6631445821533921E+000            0.000065           15.133763           13.827532           12.344267           11.454487           10.693054            9.683299            9.017118            8.811438           11.679238           13.056443           12.420823           14.249887           12.526915           11.728351            0.000000
  248         9.9000000000000004E+000         1.0800965271531701E-001         3.5681802368153819E+000         5.3494786863081760E+000        -2.6557610268329115E+000            0.000065           15.096678           13.800266           12.321486           11.434279           10.675244            9.667460            9.002565            8.797246           11.659292           13.029651           12.398484           14.220072           12.503661           11.708588            0.000000
  249         9.9000000000000004E+000         1.1753368604216073E-001         3.5752624227537941E+000         5.3177137975349842E+000        -2.5621258462300651E+000            0.000065           14.661434           13.479407           12.049352           11.189438           10.451373            9.464570            8.813087            8.611163           11.415241           12.708492           12.132260           13.871689           12.226806           11.465944            0.000000
  250         9.9000000000000004E+000         1.2143654227053367E-001         3.5780053548786248E+000         5.3043399352230454E+000        -2.5240352729177329E+000            0.000065           14.489683           13.353237           11.942097           11.092420           10.360884            9.382107            8.735310            8.534849           11.317853           12.580905           12.027534           13.734030           12.117770           11.368896            0.000000
  251         9.9000000000000004E+000         1.2153147972664501E-001         3.5780756859252700E+000         5.3040213168411841E+000        -2.5231009821169081E+000            0.000065           14.485411           13.350106           11.939449           11.090033           10.358663            9.380094            8.733417            8.532995           11.315455           12.577744           12.024948           13.730606           12.115075           11.366507            0.000000
  252         9.9000000000000004E+000         1.2905083755504912E-001         3.5838961162875855E+000         5.2792531796745736E+000        -2.4485696688479486E+000            0.000065           14.141534           13.097761           11.726910           10.899107           10.181211            9.219837            8.583232            8.386219           11.123394           12.323006           11.817408           13.456646           11.898438           11.175064            0.000000
  253         9.9000000000000004E+000         1.2912780877520788E-001         3.5839538250676943E+000         5.2789950744669873E+000        -2.4478096537565035E+000            0.000065           14.138083           13.095206           11.724750           10.897162           10.179397            9.218193            8.581687            8.384709           11.121435           12.320420           11.815296           13.453890           11.896235           11.173112            0.000000
