# MIST version number  = 1.0     
# MESA revision number =     7503
# photometric system   = UBV(RI)c, 2MASS, Kepler, Hipparcos, Gaia (Vega)                 
# --------------------------------------------------------------------------------------
#  Yinit        Zinit   [Fe/H]   [a/Fe]  v/vcrit                                        
# 0.2492  1.32778E-04    -2.05     0.00     0.40
# --------------------------------------------------------------------------------------
# number of isochrones =     8
# CCM89 extinction: Av =  0.000
# --------------------------------------------------------------------------------------
# number of EEPs, cols =   464   22
#   1                               2                               3                               4                               5                               6                   7                   8                   9                  10                  11                  12                  13                  14                  15                  16                  17                  18                  19                  20                  21                  22
# EEP          log10_isochrone_age_yr                    initial_mass                        log_Teff                           log_g                           log_L              Z_surf           Bessell_U           Bessell_B           Bessell_V           Bessell_R           Bessell_I             2MASS_J             2MASS_H            2MASS_Ks           Kepler_Kp          Kepler_D51        Hipparcos_Hp             Tycho_B             Tycho_V              Gaia_G               phase
  244         9.9000000000000004E+000         1.0000000000000023E-001         3.5444509202435865E+000         5.3526471701204912E+000        -2.7820548391953865E+000            0.000133           16.139263           14.532236           12.873934           11.887476           11.032193            9.927633            9.206177            8.984647           12.101550           13.756764           12.921267           15.040119           13.078230           12.142964            0.000000
  245         9.9000000000000004E+000         1.1006317978190783E-001         3.5536998027175204E+000         5.3226501834779718E+000        -2.6796219505140400E+000            0.000133           15.620947           14.174253           12.569271           11.614680           10.790412            9.714610            9.011736            8.794502           11.837328           13.400610           12.627574           14.642048           12.770117           11.880981            0.000000
  246         9.9000000000000004E+000         1.1014049542204049E-001         3.5537699740412001E+000         5.3224176528929483E+000        -2.6788364456828839E+000            0.000133           15.617148           14.171507           12.566936           11.612563           10.788532            9.712950            9.010203            8.793009           11.835258           13.397953           12.625308           14.639034           12.767751           11.878930            0.000000
  247         9.9000000000000004E+000         1.1036141597677122E-001         3.5539407939959848E+000         5.3216959655098561E+000        -2.6766534440754843E+000            0.000133           15.607054           14.164095           12.560575           11.606753           10.783306            9.708254            9.005823            8.788715           11.829557           13.390665           12.619123           14.630926           12.761310           11.873275            0.000000
  248         9.9000000000000004E+000         1.1328584096014037E-001         3.5566544773031303E+000         5.3130050153477235E+000        -2.6468085748408798E+000            0.000133           15.463326           14.057968           12.470694           11.525225           10.711037            9.644716            8.947250            8.731663           11.749515           13.288396           12.531813           14.514920           12.670078           11.793983            0.000000
  249         9.9000000000000004E+000         1.2164749382945307E-001         3.5642153419636413E+000         5.2877406978213015E+000        -2.5618529041209839E+000            0.000133           15.063774           13.752534           12.212615           11.289889           10.501307            9.460445            8.776735            8.565683           11.516378           12.997216           12.280087           14.183680           12.407481           11.563016            0.000000
  250         9.9000000000000004E+000         1.2220291325155420E-001         3.5646210738591031E+000         5.2858677669825846E+000        -2.5564009832917178E+000            0.000133           15.039536           13.733617           12.196465           11.275018           10.487781            9.448318            8.765373            8.554555           11.501559           12.978927           12.264277           14.163289           12.391063           11.548308            0.000000
  251         9.9000000000000004E+000         1.2228226011317506E-001         3.5646926538315671E+000         5.2856269809327898E+000        -2.5555944355306637E+000            0.000133           15.035746           13.730685           12.194000           11.272764           10.485761            9.446554            8.763743            8.552971           11.499316           12.976146           12.261868           14.160110           12.388555           11.546086            0.000000
  252         9.9000000000000004E+000         1.3318937407673301E-001         3.5746970512723659E+000         5.2527408091106915E+000        -2.4442783144188138E+000            0.000133           14.496876           13.314356           11.846531           10.958587           10.202801            9.200891            8.538958            8.334415           11.185972           12.576125           11.922488           13.709993           12.033815           11.235258            0.000000
  253         9.9000000000000004E+000         1.3326649718565128E-001         3.5747671142156654E+000         5.2525058124694386E+000        -2.4434914564140087E+000            0.000133           14.492939           13.311366           11.844051           10.956362           10.200778            9.199147            8.537382            8.332882           11.183756           12.573208           11.920067           13.706739           12.031284           11.233056            0.000000
  254         9.9000000000000004E+000         1.3416272368862012E-001         3.5754130502134478E+000         5.2494355714685277E+000        -2.4346811723615471E+000            0.000133           14.451781           13.279598           11.817256           10.932072           10.178367            9.179253            8.519046            8.314911           11.159515           12.541785           11.893848           13.672426           12.003963           11.208940            0.000000
  255         9.9000000000000004E+000         1.3424192503392562E-001         3.5754845437901861E+000         5.2491930703948464E+000        -2.4338737684040641E+000            0.000133           14.447737           13.276508           11.814697           10.929782           10.176285            9.177454            8.517422            8.313330           11.157232           12.538763           11.891351           13.669075           12.001348           11.206672            0.000000
  256         9.9000000000000004E+000         1.4483847639145353E-001         3.5852836929173986E+000         5.2170330420797137E+000        -2.3251986227420920E+000            0.000133           13.893744           12.848687           11.462709           10.615706            9.890320            8.932221            8.298318            8.100421           10.843267           12.120665           11.547214           13.205732           11.640882           10.894554            0.000000
  257         9.9000000000000004E+000         1.4491541142183118E-001         3.5853536465318543E+000         5.2167953380268060E+000        -2.3244101578593508E+000            0.000133           13.889789           12.845604           11.460159           10.613417            9.888222            8.930424            8.296719            8.098867           10.840977           12.117678           11.544713           13.202407           11.638273           10.892276            0.000000
  258         9.9000000000000004E+000         1.4622205636062574E-001         3.5862131156306329E+000         5.2125981759152262E+000        -2.3123720703282626E+000            0.000133           13.834044           12.801207           11.422717           10.579456            9.856683            8.902507            8.271205            8.073906           10.806935           12.073915           11.507946           13.154856           11.600028           10.858378            0.000000
  259         9.9000000000000004E+000         1.6400843389675845E-001         3.5935241922158379E+000         5.1770378723242656E+000        -2.1990602852838479E+000            0.000133           13.342942           12.398248           11.076783           10.262764            9.560660            8.636644            8.025372            7.833177           10.489292           11.677314           11.167540           12.727462           11.247188           10.541915            0.000000
  260         9.9000000000000004E+000         1.6416875658614835E-001         3.5935665915183024E+000         5.1767615471379074E+000        -2.1982137569566751E+000            0.000133           13.339674           12.395465           11.074317           10.260462            9.558479            8.634630            8.023472            7.831308           10.486981           11.674578           11.165097           12.724545           11.244686           10.539611            0.000000
  261         9.9000000000000004E+000         1.7678346662120767E-001         3.5968981028428519E+000         5.1542698076220708E+000        -2.1308750051726548E+000            0.000133           13.081107           12.174767           10.878344           10.077750            9.385447            8.474252            7.871567            7.681917           10.303575           11.456261           10.971410           12.493749           11.045651           10.356686            0.000000
  262         9.9000000000000004E+000         1.7703069694820658E-001         3.5969623440116627E+000         5.1538329186048495E+000        -2.1295633856809757E+000            0.000133           13.076139           12.170503           10.874537           10.074200            9.382087            8.471127            7.868599            7.679000           10.300010           11.452043           10.967649           12.489300           11.041789           10.353130            0.000000
