# MIST version number  = 1.0     
# MESA revision number =     7503
# photometric system   = UBV(RI)c, 2MASS, Kepler, Hipparcos, Gaia (Vega)                 
# --------------------------------------------------------------------------------------
#  Yinit        Zinit   [Fe/H]   [a/Fe]  v/vcrit                                        
# 0.2492  1.18344E-04    -2.10     0.00     0.40
# --------------------------------------------------------------------------------------
# number of isochrones =     8
# CCM89 extinction: Av =  0.000
# --------------------------------------------------------------------------------------
# number of EEPs, cols =   464   22
#   1                               2                               3                               4                               5                               6                   7                   8                   9                  10                  11                  12                  13                  14                  15                  16                  17                  18                  19                  20                  21                  22
# EEP          log10_isochrone_age_yr                    initial_mass                        log_Teff                           log_g                           log_L              Z_surf           Bessell_U           Bessell_B           Bessell_V           Bessell_R           Bessell_I             2MASS_J             2MASS_H            2MASS_Ks           Kepler_Kp          Kepler_D51        Hipparcos_Hp             Tycho_B             Tycho_V              Gaia_G               phase
  244         9.9000000000000004E+000         1.0000000000000020E-001         3.5469451608192935E+000         5.3559125720843452E+000        -2.7753433094324889E+000            0.000123           16.055901           14.478545           12.834770           11.858274           11.012383            9.917974            9.203564            8.982893           12.074921           13.704312           12.885534           14.979010           13.037259           12.117099            0.000000
  245         9.9000000000000004E+000         1.0947972036489317E-001         3.5555429109318801E+000         5.3274286441693173E+000        -2.6790828291229660E+000            0.000123           15.582851           14.143598           12.550003           11.601573           10.784233            9.716384            9.017611            8.801723           11.824722           13.374326           12.610419           14.609192           12.749134           11.869016            0.000000
  246         9.9000000000000004E+000         1.0955700511285300E-001         3.5556113132100369E+000         5.3271928006727416E+000        -2.6783011963540830E+000            0.000123           15.579119           14.140825           12.547656           11.599443           10.782339            9.714709            9.016060            8.800211           11.822628           13.371631           12.608140           14.606201           12.746751           11.866940            0.000000
  247         9.9000000000000004E+000         1.0992159461760029E-001         3.5558811008824218E+000         5.3259783670514871E+000        -2.6747236066580422E+000            0.000123           15.562874           14.128736           12.537275           11.589931           10.773750            9.706952            9.008784            8.793077           11.813259           13.359751           12.598030           14.593152           12.736236           11.857643            0.000000
  248         9.9000000000000004E+000         1.1253209978230846E-001         3.5583010143763087E+000         5.3182155397706454E+000        -2.6480874965540266E+000            0.000123           15.435362           14.033821           12.456947           11.516993           10.709410            9.650043            8.956116            8.741832           11.741451           13.269371           12.519880           14.490666           12.654642           11.786519            0.000000
  249         9.9000000000000004E+000         1.2105980700269701E-001         3.5657934963622346E+000         5.2920225692089700E+000        -2.5618918958508523E+000            0.000123           15.031950           13.726927           12.196471           11.279882           10.497574            9.462658            8.781786            8.572109           11.506230           12.976439           12.265414           14.158138           12.389130           11.553458            0.000000
  250         9.9000000000000004E+000         1.2209343168283697E-001         3.5665331140047489E+000         5.2885066481597924E+000        -2.5517773103811487E+000            0.000123           14.986889           13.691938           12.166641           11.252465           10.472551            9.440145            8.760636            8.551394           11.478886           12.942455           12.236211           14.120363           12.358792           11.526314            0.000000
  251         9.9000000000000004E+000         1.2217500577224219E-001         3.5666045155592387E+000         5.2882547432054174E+000        -2.5509525136144129E+000            0.000123           14.983007           13.688941           12.164123           11.250174           10.470490            9.438332            8.758957            8.549759           11.476601           12.939589           12.233750           14.117110           12.356225           11.524049            0.000000
  252         9.9000000000000004E+000         1.3259815457363527E-001         3.5760112034173983E+000         5.2565282906198183E+000        -2.4448913650515474E+000            0.000123           14.465364           13.291764           11.833612           10.952512           10.201197            9.204264            8.544983            8.341605           11.179667           12.554689           11.911097           13.686537           12.018718           11.229350            0.000000
  253         9.9000000000000004E+000         1.3267525598415936E-001         3.5760795014802409E+000         5.2562899927548035E+000        -2.4441083417486502E+000            0.000123           14.461396           13.288714           11.831101           10.950282           10.199173            9.202509            8.543398            8.340061           11.177438           12.551670           11.908649           13.683232           12.016144           11.227136            0.000000
  254         9.9000000000000004E+000         1.3439065848246554E-001         3.5772996331922458E+000         5.2503809360630713E+000        -2.4272775139757616E+000            0.000123           14.382564           13.227506           11.779685           10.903749           10.156164            9.164359            8.508354            8.305702           11.130933           12.490868           11.858334           13.616958           11.963705           11.180852            0.000000
