# MIST version number  = 1.0     
# MESA revision number =     7503
# photometric system   = UBV(RI)c, 2MASS, Kepler, Hipparcos, Gaia (Vega)                 
# --------------------------------------------------------------------------------------
#  Yinit        Zinit   [Fe/H]   [a/Fe]  v/vcrit                                        
# 0.2491  4.71249E-05    -2.50     0.00     0.40
# --------------------------------------------------------------------------------------
# number of isochrones =     8
# CCM89 extinction: Av =  0.000
# --------------------------------------------------------------------------------------
# number of EEPs, cols =   464   22
#   1                               2                               3                               4                               5                               6                   7                   8                   9                  10                  11                  12                  13                  14                  15                  16                  17                  18                  19                  20                  21                  22
# EEP          log10_isochrone_age_yr                    initial_mass                        log_Teff                           log_g                           log_L              Z_surf           Bessell_U           Bessell_B           Bessell_V           Bessell_R           Bessell_I             2MASS_J             2MASS_H            2MASS_Ks           Kepler_Kp          Kepler_D51        Hipparcos_Hp             Tycho_B             Tycho_V              Gaia_G               phase
  244         9.9000000000000004E+000         1.0000000000000005E-001         3.5668990854249492E+000         5.3820357877951697E+000        -2.7216510713293065E+000            0.000045           15.293446           13.942405           12.460863           11.576010           10.817832            9.814075            9.150904            8.946920           11.799516           13.158672           12.537819           14.373690           12.640068           11.848995            0.000000
  245         9.9000000000000004E+000         1.0481204502877592E-001         3.5702877766467549E+000         5.3656563297000783E+000        -2.6747698579943746E+000            0.000045           15.081358           13.787788           12.328316           11.456219           10.707580            9.713358            9.056545            8.853957           11.680632           13.004799           12.408134           14.205153           12.505522           11.730865            0.000000
  246         9.9000000000000004E+000         1.0488908263935308E-001         3.5703420265607306E+000         5.3653939829110877E+000        -2.6740192017236755E+000            0.000045           15.077970           13.785331           12.326213           11.454309           10.705819            9.711744            9.055035            8.852468           11.678737           13.002388           12.406075           14.202484           12.503391           11.728981            0.000000
  247         9.9000000000000004E+000         1.0640302374423274E-001         3.5714035559739146E+000         5.3602375793845285E+000        -2.6592849073185083E+000            0.000045           15.011436           13.736831           12.284686           11.416739           10.671070            9.680078            9.025360            8.823223           11.641324           12.953953           12.365479           14.149958           12.461240           11.691782            0.000000
  248         9.9000000000000004E+000         1.0650217035965320E-001         3.5714733109617387E+000         5.3598997351540190E+000        -2.6583188702592055E+000            0.000045           15.007076           13.733668           12.281981           11.414285           10.668800            9.678002            9.023417            8.821307           11.638882           12.950831           12.362833           14.146522           12.458500           11.689353            0.000000
  249         9.9000000000000004E+000         1.1635831238864862E-001         3.5784187315509808E+000         5.3262775403103211E+000        -2.5622038296898029E+000            0.000045           14.571728           13.418527           12.013343           11.170587           10.441471            9.470946            8.830247            8.630802           11.394891           12.633814           12.100443           13.802891           12.185918           11.446393            0.000000
  250         9.9000000000000004E+000         1.2121757913309923E-001         3.5818294351699160E+000         5.3096176975774627E+000        -2.5147879270965947E+000            0.000045           14.356284           13.261760           11.880146           11.050004           10.328448            9.368143            8.734411            8.536428           11.273699           12.475361           11.970259           13.632228           12.050558           11.325545            0.000000
  251         9.9000000000000004E+000         1.2131697104477929E-001         3.5818994093806129E+000         5.3092768413864393E+000        -2.5138171382844070E+000            0.000045           14.351875           13.258539           11.877410           11.047529           10.326126            9.366032            8.732445            8.534492           11.271209           12.472105           11.967584           13.628736           12.047776           11.323062            0.000000
  252         9.9000000000000004E+000         1.2786839854885371E-001         3.5865244205776481E+000         5.2868281426928263E+000        -2.4497957701134156E+000            0.000045           14.062494           13.045305           11.696218           10.883791           10.172453            9.226439            8.602451            8.406644           11.106347           12.256509           11.790361           13.398136           11.863445           11.158573            0.000000
  253         9.9000000000000004E+000         1.2794532637222403E-001         3.5865785995968453E+000         5.2865634350377162E+000        -2.4490434244257879E+000            0.000045           14.059155           13.042830           11.694112           10.881882           10.170667            9.224801            8.600910            8.405132           11.104426           12.254033           11.788298           13.395459           11.861304           11.156655            0.000000
  254         9.9000000000000004E+000         1.3621413683322886E-001         3.5923922970226294E+000         5.2579438528194196E+000        -2.3680482468894781E+000            0.000045           13.700712           12.772326           11.463102           10.673160            9.974345            9.046618            8.434819            8.242058           10.893984           11.980827           11.562073           13.104897           11.626137           10.946607            0.000000
  255         9.9000000000000004E+000         1.3631354233908241E-001         3.5924623561771374E+000         5.2575992448776807E+000        -2.3670733199020906E+000            0.000045           13.696436           12.769064           11.460307           10.670631            9.971967            9.044462            8.432810            8.240087           10.891438           11.977541           11.559333           13.101408           11.623291           10.944065            0.000000
  256         9.9000000000000004E+000         1.3949016330490666E-001         3.5947099800850424E+000         5.2466444304191731E+000        -2.3359407159290519E+000            0.000045           13.560218           12.664742           11.370787           10.589631            9.895778            8.975485            8.368572            8.177123           10.809743           11.872528           11.471647           12.989954           11.532131           10.862532            0.000000
  257         9.9000000000000004E+000         1.3956693098205919E-001         3.5947640592564305E+000         5.2463773167597818E+000        -2.3351869284085014E+000            0.000045           13.557056           12.662323           11.368704           10.587736            9.893999            8.973844            8.366992            8.175585           10.807836           11.870139           11.469606           12.987368           11.530015           10.860627            0.000000
  258         9.9000000000000004E+000         1.5194164178098543E-001         3.6027140768042547E+000         5.2065132396706471E+000        -2.2219284248810083E+000            0.000045           13.077890           12.285969           11.041918           10.289971            9.613388            8.719765            8.130179            7.943609           10.507879           11.493945           11.148474           12.588537           11.197487           10.561298            0.000000
  259         9.9000000000000004E+000         1.5209155768060273E-001         3.6027603034548417E+000         5.2062565895713533E+000        -2.2211122666434751E+000            0.000045           13.074689           12.283337           11.039564           10.287798            9.611319            8.717868            8.128414            7.941869           10.505690           11.491308           11.146155           12.585785           11.195099           10.559114            0.000000
  260         9.9000000000000004E+000         1.5224115387432910E-001         3.6028064270160312E+000         5.2060004030722089E+000        -2.2202977832310342E+000            0.000045           13.071568           12.280766           11.037266           10.285665            9.609284            8.715992            8.126641            7.940125           10.503543           11.488750           11.143888           12.583096           11.192768           10.556972            0.000000
  261         9.9000000000000004E+000         1.7288652733507187E-001         3.6091231677724607E+000         5.1697754965664497E+000        -2.1072184427267446E+000            0.000045           12.646739           11.924290           10.716681            9.987233            9.324656            8.453904            7.879732            7.697343           10.203227           11.135740           10.827236           12.212071           10.867723           10.257265            0.000000
  262         9.9000000000000004E+000         1.7301195195757094E-001         3.6091612023918516E+000         5.1695501200373899E+000        -2.1065275241681185E+000            0.000045           12.644255           11.922161           10.714756            9.985426            9.322928            8.452306            7.878206            7.695848           10.201411           11.133658           10.825329           12.209865           10.865772           10.255454            0.000000
  263         9.9000000000000004E+000         1.8385914063748021E-001         3.6123833847867690E+000         5.1495004798833568E+000        -2.0464848329982708E+000            0.000045           12.425545           11.734256           10.544267            9.825892            9.170416            8.311913            7.746226            7.566017           10.040914           10.948805           10.656572           12.015495           10.692994           10.095257            0.000000
  264         9.9000000000000004E+000         1.8402624906634291E-001         3.6124334843916102E+000         5.1491950390950985E+000        -2.0455614335418071E+000            0.000045           12.422132           11.731321           10.541602            9.823408            9.168042            8.309742            7.744210            7.564031           10.038410           10.945911           10.653935           12.012465           10.690293           10.092758            0.000000
  265         9.9000000000000004E+000         1.9014793245227476E-001         3.6142991416069492E+000         5.1381497849302749E+000        -2.0117570928067225E+000            0.000045           12.299039           11.624874           10.444965            9.732964            9.081693            8.230590            7.670105            7.491204            9.947427           10.841765           10.558200           11.902515           10.592341           10.001948            0.000000
  266         9.9000000000000004E+000         2.0519129745121317E-001         3.6177235385717239E+000         5.1128802721778657E+000        -1.9381106121936191E+000            0.000045           12.043610           11.400531           10.238397            9.537801            8.893943            8.056207            7.505121            7.328570            9.751124           10.621654           10.353279           11.671721           10.383451            9.805919            0.000000
  267         9.9000000000000004E+000         2.0823850919376630E-001         3.6180417807194583E+000         5.1090041891989806E+000        -1.9270555072459117E+000            0.000045           12.008921           11.369154           10.208712            9.509215            8.866020            8.029515            7.479298            7.302956            9.722416           10.590523           10.323760           11.639685           10.353556            9.777232            0.000000
  268         9.9000000000000004E+000         2.0842170934771570E-001         3.6180609623731876E+000         5.1087691687092889E+000        -1.9263886856477344E+000            0.000045           12.006883           11.367287           10.206944            9.507505            8.864350            8.027911            7.477728            7.301404            9.720701           10.588692           10.322001           11.637780           10.351776            9.775519            0.000000
  269         9.9000000000000004E+000         2.2315158566779347E-001         3.6196048309748958E+000         5.0898154933821420E+000        -1.8727104633490044E+000            0.000045           11.838557           11.214878           10.062692            9.368556            8.728651            7.898222            7.352301            7.177002            9.581150           10.437632           10.178529           11.482208           10.206517            9.636074            0.000000
  270         9.9000000000000004E+000         2.3666781705880663E-001         3.6210163946839509E+000         5.0728487898432144E+000        -1.8239006139372753E+000            0.000045           11.685751           11.076199            9.931397            9.242000            8.605144            7.780209            7.238192            7.063864            9.454057           10.300525           10.047853           11.340706           10.074301            9.509079            0.000000
  271         9.9000000000000004E+000         2.4148994464325313E-001         3.6215218053875362E+000         5.0667052459847541E+000        -1.8063893195553586E+000            0.000045           11.630950           11.026443            9.884278            9.196538            8.560820            7.737847            7.197237            7.023259            9.408429           10.251369           10.000943           11.289945           10.026851            9.463487            0.000000
  272         9.9000000000000004E+000         2.5929317995590784E-001         3.6232352056215360E+000         5.0477174140378294E+000        -1.7493372039013524E+000            0.000045           11.451417           10.863514            9.730201            9.047994            8.416247            7.599904            7.064085            6.891321            9.259337           10.090778            9.847532           11.123684            9.871662            9.314506            0.000000
  273         9.9000000000000004E+000         2.5940583085174146E-001         3.6232452149581715E+000         5.0476158892042235E+000        -1.7490172477339272E+000            0.000045           11.450470           10.862619            9.729353            9.047171            8.415448            7.599134            7.063327            6.890575            9.258512           10.089925            9.846685           11.122776            9.870810            9.313682            0.000000
  274         9.9000000000000004E+000         2.6491257666419021E-001         3.6237350482375623E+000         5.0427882356734601E+000        -1.7335097032236311E+000            0.000045           11.401430           10.818101            9.687330            9.006690            8.376135            7.561685            7.027210            6.854822            9.217872           10.046207            9.804844           11.077336            9.828473            9.273075            0.000000
  275         9.9000000000000004E+000         2.7729059100477527E-001         3.6248368935692898E+000         5.0317608151008013E+000        -1.6984730994236952E+000            0.000045           11.290449           10.717516            9.592381            8.915233            8.287354            7.477050            6.945597            6.774022            9.126041            9.947363            9.710304           10.974654            9.732819            9.181320            0.000000
  276         9.9000000000000004E+000         2.7741192912743889E-001         3.6248477089248867E+000         5.0316550928635930E+000        -1.6981319639874335E+000            0.000045           11.289368           10.716536            9.591455            8.914342            8.286490            7.476225            6.944801            6.773234            9.125147            9.946402            9.709384           10.973654            9.731887            9.180427            0.000000
  277         9.9000000000000004E+000         2.9444816791745759E-001         3.6263682507580137E+000         5.0171245608346551E+000        -1.6505404794996390E+000            0.000045           11.138369           10.579766            9.462431            8.790061            8.166112            7.361314            6.833930            6.663527            9.000413            9.812202            9.580898           10.834005            9.601900            9.055794            0.000000
  278         9.9000000000000004E+000         2.9662964818842652E-001         3.6265631873646740E+000         5.0152348811876752E+000        -1.6444164709984996E+000            0.000045           11.118785           10.562136            9.445807            8.774064            8.150625            7.346520            6.819679            6.649417            8.984353            9.794842            9.564351           10.815989            9.585152            9.039745            0.000000
  279         9.9000000000000004E+000         2.9675883082464094E-001         3.6265747347978685E+000         5.0151265932819706E+000        -1.6440574179371383E+000            0.000045           11.117641           10.561102            9.444834            8.773126            8.149718            7.345654            6.818843            6.648590            8.983412            9.793828            9.563381           10.814934            9.584170            9.038805            0.000000
  280         9.9000000000000004E+000         3.0813060240499435E-001         3.6276097382016399E+000         5.0066414867028000E+000        -1.6147213633695312E+000            0.000045           11.022762           10.475770            9.364748            8.696256            8.075625            7.275075            6.750908            6.581476            8.906224            9.710360            9.483644           10.727663            9.503434            8.961681            0.000000
  281         9.9000000000000004E+000         3.0819438214935646E-001         3.6276155833339030E+000         5.0065963521485317E+000        -1.6145620238054594E+000            0.000045           11.022240           10.475303            9.364310            8.695837            8.075223            7.274693            6.750540            6.581113            8.905804            9.709903            9.483209           10.727184            9.502994            8.961261            0.000000
  282         9.9000000000000004E+000         3.2173456532674355E-001         3.6289594916229855E+000         4.9976406929159811E+000        -1.5815533322130044E+000            0.000045           10.912284           10.377409            9.273180            8.608853            7.991970            7.195770            6.674857            6.506539            8.818406            9.614552            9.392513           10.626827            9.411019            8.873944            0.000000
  283         9.9000000000000004E+000         3.2183692356586679E-001         3.6289705236926464E+000         4.9975771847436459E+000        -1.5813089067180932E+000            0.000045           10.911375           10.376649            9.272483            8.608199            7.991346            7.195187            6.674314            6.506001            8.817746            9.613787            9.391823           10.626041            9.410315            8.873285            0.000000
  284         9.9000000000000004E+000         3.2193917235396952E-001         3.6289815442425506E+000         4.9975137341652189E+000        -1.5810647311553885E+000            0.000045           10.910700           10.375960            9.271834            8.607566            7.990746            7.194610            6.673731            6.505437            8.817114            9.613176            9.391171           10.625346            9.409660            8.872655            0.000000
  285         9.9000000000000004E+000         3.2212897275066260E-001         3.6290020585506113E+000         4.9973988013010651E+000        -1.5806140966464879E+000            0.000045           10.909093           10.374581            9.270564            8.606367            7.989602            7.193536            6.672720            6.504438            8.815907            9.611811            9.389911           10.623924            9.408377            8.871449            0.000000
  286         9.9000000000000004E+000         3.4178428575292663E-001         3.6312409418298182E+000         4.9859802232344421E+000        -1.5345103950343861E+000            0.000045           10.749272           10.234401            9.141489            8.484151            7.873324            7.084395            6.568476            6.402141            8.692985            9.475933            9.261536           10.479726            9.277910            8.748652            0.000000
  287         9.9000000000000004E+000         3.4181247212976751E-001         3.6312444821889014E+000         4.9859660542948019E+000        -1.5344465823926006E+000            0.000045           10.748965           10.234180            9.141294            8.483975            7.873157            7.084245            6.568348            6.402011            8.692805            9.475693            9.261345           10.479492            9.277713            8.748473            0.000000
  288         9.9000000000000004E+000         3.4300036701805381E-001         3.6313909873571006E+000         4.9852754532720551E+000        -1.5316744778018616E+000            0.000045           10.739082           10.225632            9.133474            8.476609            7.866162            7.077724            6.562138            6.395928            8.685390            9.467406            9.253572           10.470675            9.269802            8.741065            0.000000
  289         9.9000000000000004E+000         3.4323772733604963E-001         3.6314206055580369E+000         4.9851660142011411E+000        -1.5311477543025558E+000            0.000045           10.737173           10.223989            9.131978            8.475204            7.864832            7.076489            6.560966            6.394783            8.683974            9.465817            9.252085           10.468977            9.268288            8.739652            0.000000
  290         9.9000000000000004E+000         3.4618114007448364E-001         3.6317909569743918E+000         4.9837123838180144E+000        -1.5245074190927344E+000            0.000045           10.713050           10.203288            9.113123            8.457500            7.848059            7.060924            6.546200            6.380334            8.666145            9.445754            9.233351           10.447589            9.249205            8.721840            0.000000
  291         9.9000000000000004E+000         3.5021157413208265E-001         3.6322902176859180E+000         4.9814589495625246E+000        -1.5151903668203937E+000            0.000045           10.679805           10.174557            9.086860            8.432768            7.824565            7.039041            6.525329            6.359907            8.641247            9.417941            9.207243           10.417942            9.222635            8.696965            0.000000
  292         9.9000000000000004E+000         3.5030996158302341E-001         3.6323032654800533E+000         4.9814119172546016E+000        -1.5149707742971612E+000            0.000045           10.678840           10.173822            9.086206            8.432173            7.824000            7.038528            6.524872            6.359453            8.640642            9.417177            9.206599           10.417170            9.221972            8.696361            0.000000
  293         9.9000000000000004E+000         3.5122190752194860E-001         3.6324249121113472E+000         4.9810170284069812E+000        -1.5129736238216021E+000            0.000045           10.671471           10.167520            9.080499            8.426831            7.818959            7.033879            6.520464            6.355155            8.635262            9.411113            9.200928           10.410647            9.216191            8.690987            0.000000
  294         9.9000000000000004E+000         3.6014647835183439E-001         3.6336082871031454E+000         4.9766243657922784E+000        -1.4929337910175760E+000            0.000045           10.597416           10.104540            9.023397            8.373398            7.768369            6.987160            6.476151            6.311881            8.581416            9.350150            9.144204           10.345448            9.158368            8.637189            0.000000
  295         9.9000000000000004E+000         3.6020520663958444E-001         3.6336164991550830E+000         4.9766105866219608E+000        -1.4928172840214262E+000            0.000045           10.596886           10.104141            9.023046            8.373080            7.768069            6.986892            6.475914            6.311646            8.581093            9.349739            9.143858           10.345027            9.158011            8.636867            0.000000
  296         9.9000000000000004E+000         3.6149965668728584E-001         3.6337982926019397E+000         4.9762239181850187E+000        -1.4901632024341114E+000            0.000045           10.586493           10.095513            9.015328            8.365933            7.761350            6.980779            6.470187            6.306072            8.573879            9.341392            9.136201           10.336049            9.150182            8.629660            0.000000
  297         9.9000000000000004E+000         3.6156325472158807E-001         3.6338071928332401E+000         4.9762025106381005E+000        -1.4900305192447010E+000            0.000045           10.586058           10.095106            9.014956            8.365581            7.761019            6.980473            6.469884            6.305782            8.573526            9.341024            9.135829           10.335632            9.149806            8.629307            0.000000
  298         9.9000000000000004E+000         3.6562639186200430E-001         3.6343774282606476E+000         4.9749202843945417E+000        -1.4816327242048866E+000            0.000045           10.553485           10.067942            8.990623            8.343015            7.739782            6.961124            6.451688            6.288083            8.550756            9.314804            9.111676           10.307389            9.125127            8.606559            0.000000
